player,wins,expected_wins,deviation,percent_deviation,deviation_above_tolerable_threshold
0,1958.1666666666667,2000.0,-41.83333333333326,0.02091666666666663,True
1,1961.5833333333333,2000.0,-38.41666666666674,0.019208333333333372,True
2,2048.8333333333335,2000.0,48.833333333333485,0.024416666666666743,True
3,2035.25,2000.0,35.25,0.017625,True
4,1924.1666666666667,2000.0,-75.83333333333326,0.037916666666666626,True
5,2049.5,2000.0,49.5,0.02475,True
6,2015.0,2000.0,15.0,0.0075,False
7,2010.0833333333333,2000.0,10.083333333333258,0.005041666666666628,False
8,2015.0833333333333,2000.0,15.083333333333258,0.007541666666666629,False
9,1982.3333333333333,2000.0,-17.666666666666742,0.008833333333333372,False
