card name,appearances,probability of appearing in a hand,expected_appearances,deviation,percent_deviation,deviation_above_tolerable_threshold
2 of Clubs,32640,0.3269230769230769,32691.0,-51.0,0.0015600624024961,False
3 of Clubs,32646,0.3269230769230769,32691.0,-45.0,0.0013765256492612645,False
4 of Clubs,32641,0.3269230769230769,32691.0,-50.0,0.0015294729436236274,False
5 of Clubs,32641,0.3269230769230769,32691.0,-50.0,0.0015294729436236274,False
6 of Clubs,32739,0.3269230769230769,32691.0,48.0,0.0014682940258786822,False
7 of Clubs,32577,0.3269230769230769,32691.0,-114.0,0.00348719831146187,False
8 of Clubs,32712,0.3269230769230769,32691.0,21.0,0.0006423786363219235,False
9 of Clubs,32683,0.3269230769230769,32691.0,-8.0,0.00024471567097978037,False
10 of Clubs,32768,0.3269230769230769,32691.0,77.0,0.002355388333180386,False
Jack of Clubs,32853,0.3269230769230769,32691.0,162.0,0.004955492337340553,False
Queen of Clubs,32877,0.3269230769230769,32691.0,186.0,0.0056896393502798934,False
King of Clubs,32471,0.3269230769230769,32691.0,-220.0,0.00672968095194396,False
Ace of Clubs,32773,0.3269230769230769,32691.0,82.0,0.0025083356275427487,False
2 of Diamonds,32699,0.3269230769230769,32691.0,8.0,0.00024471567097978037,False
3 of Diamonds,32751,0.3269230769230769,32691.0,60.0,0.0018353675323483528,False
4 of Diamonds,32636,0.3269230769230769,32691.0,-55.0,0.00168242023798599,False
5 of Diamonds,32592,0.3269230769230769,32691.0,-99.0,0.003028356428374782,False
6 of Diamonds,32736,0.3269230769230769,32691.0,45.0,0.0013765256492612645,False
7 of Diamonds,32379,0.3269230769230769,32691.0,-312.0,0.009543911168211435,False
8 of Diamonds,32820,0.3269230769230769,32691.0,129.0,0.003946040194548958,False
9 of Diamonds,32384,0.3269230769230769,32691.0,-307.0,0.009390963873849072,False
10 of Diamonds,32446,0.3269230769230769,32691.0,-245.0,0.007494417423755774,False
Jack of Diamonds,32593,0.3269230769230769,32691.0,-98.0,0.0029977669695023094,False
Queen of Diamonds,32851,0.3269230769230769,32691.0,160.0,0.004894313419595607,False
King of Diamonds,32765,0.3269230769230769,32691.0,74.0,0.0022636199565629683,False
Ace of Diamonds,32711,0.3269230769230769,32691.0,20.0,0.0006117891774494509,False
2 of Hearts,32820,0.3269230769230769,32691.0,129.0,0.003946040194548958,False
3 of Hearts,32613,0.3269230769230769,32691.0,-78.0,0.0023859777920528587,False
4 of Hearts,32546,0.3269230769230769,32691.0,-145.0,0.004435471536508519,False
5 of Hearts,32750,0.3269230769230769,32691.0,59.0,0.0018047780734758803,False
6 of Hearts,32863,0.3269230769230769,32691.0,172.0,0.005261386926065278,False
7 of Hearts,32728,0.3269230769230769,32691.0,37.0,0.0011318099782814841,False
8 of Hearts,32794,0.3269230769230769,32691.0,103.0,0.003150714263864672,False
9 of Hearts,32721,0.3269230769230769,32691.0,30.0,0.0009176837661741764,False
10 of Hearts,32664,0.3269230769230769,32691.0,-27.0,0.0008259153895567588,False
Jack of Hearts,32824,0.3269230769230769,32691.0,133.0,0.004068398030038849,False
Queen of Hearts,32809,0.3269230769230769,32691.0,118.0,0.0036095561469517605,False
King of Hearts,32638,0.3269230769230769,32691.0,-53.0,0.0016212413202410449,False
Ace of Hearts,32790,0.3269230769230769,32691.0,99.0,0.003028356428374782,False
2 of Spades,32727,0.3269230769230769,32691.0,36.0,0.0011012205194090117,False
3 of Spades,32667,0.3269230769230769,32691.0,-24.0,0.0007341470129393411,False
4 of Spades,32403,0.3269230769230769,32691.0,-288.0,0.008809764155272093,False
5 of Spades,32660,0.3269230769230769,32691.0,-31.0,0.000948273225046649,False
6 of Spades,32613,0.3269230769230769,32691.0,-78.0,0.0023859777920528587,False
7 of Spades,32539,0.3269230769230769,32691.0,-152.0,0.004649597748615827,False
8 of Spades,32745,0.3269230769230769,32691.0,54.0,0.0016518307791135176,False
9 of Spades,33033,0.3269230769230769,32691.0,342.0,0.01046159493438561,True
10 of Spades,32994,0.3269230769230769,32691.0,303.0,0.00926860603835918,False
Jack of Spades,32716,0.3269230769230769,32691.0,25.0,0.0007647364718118137,False
Queen of Spades,32286,0.3269230769230769,32691.0,-405.0,0.01238873084335138,True
King of Spades,32658,0.3269230769230769,32691.0,-33.0,0.001009452142791594,False
Ace of Spades,32947,0.3269230769230769,32691.0,256.0,0.007830901471352972,False
