player,wins,expected_wins,deviation,percent_deviation,deviation_above_tolerable_threshold
0,23184.983333333334,23000.0,184.98333333333358,0.008042753623188416,False
1,22909.233333333334,23000.0,-90.76666666666642,0.003946376811594193,False
2,22856.316666666666,23000.0,-143.6833333333343,0.006247101449275405,False
3,23124.566666666666,23000.0,124.5666666666657,0.005415942028985465,False
4,22735.983333333334,23000.0,-264.0166666666664,0.011478985507246367,True
5,23083.983333333334,23000.0,83.98333333333358,0.0036514492753623295,False
6,22938.816666666666,23000.0,-61.1833333333343,0.002660144927536274,False
7,22993.9,23000.0,-6.099999999998545,0.00026521739130428454,False
8,23034.983333333334,23000.0,34.983333333333576,0.0015210144927536337,False
9,23137.233333333334,23000.0,137.23333333333358,0.005966666666666677,False
