player,wins,expected_wins,deviation,percent_deviation,deviation_above_tolerable_threshold
0,11092.033333333333,11000.0,92.03333333333285,0.008366666666666623,False
1,11057.616666666667,11000.0,57.61666666666679,0.005237878787878799,False
2,11032.616666666667,11000.0,32.61666666666679,0.002965151515151526,False
3,10979.866666666667,11000.0,-20.133333333333212,0.0018303030303030193,False
4,10939.95,11000.0,-60.04999999999927,0.005459090909090843,False
5,11187.616666666667,11000.0,187.6166666666668,0.017056060606060616,True
6,10946.45,11000.0,-53.54999999999927,0.0048681818181817525,False
7,10916.95,11000.0,-83.04999999999927,0.0075499999999999335,False
8,10954.2,11000.0,-45.79999999999927,0.004163636363636297,False
9,10892.7,11000.0,-107.29999999999927,0.009754545454545389,False
