player,wins,expected_wins,deviation,percent_deviation,deviation_above_tolerable_threshold
0,12139.75,12000.0,139.75,0.011645833333333333,True
1,12019.25,12000.0,19.25,0.0016041666666666667,False
2,12087.083333333334,12000.0,87.08333333333394,0.007256944444444495,False
3,11959.333333333334,12000.0,-40.66666666666606,0.0033888888888888385,False
4,11931.083333333334,12000.0,-68.91666666666606,0.005743055555555505,False
5,12182.083333333334,12000.0,182.08333333333394,0.015173611111111162,True
6,11935.25,12000.0,-64.75,0.005395833333333333,False
7,11889.5,12000.0,-110.5,0.009208333333333334,False
8,11940.0,12000.0,-60.0,0.005,False
9,11916.666666666666,12000.0,-83.33333333333394,0.006944444444444495,False
