player,wins,expected_wins,deviation,percent_deviation,deviation_above_tolerable_threshold
0,13156.95,13000.0,156.95000000000073,0.01207307692307698,True
1,12969.366666666667,13000.0,-30.633333333333212,0.002356410256410247,False
2,13121.95,13000.0,121.95000000000073,0.009380769230769286,False
3,12968.783333333333,13000.0,-31.21666666666715,0.0024012820512820886,False
4,12909.533333333333,13000.0,-90.46666666666715,0.006958974358974396,False
5,13234.7,13000.0,234.70000000000073,0.01805384615384621,True
6,12913.033333333333,13000.0,-86.96666666666715,0.006689743589743627,False
7,12885.366666666667,13000.0,-114.63333333333321,0.008817948717948708,False
8,12934.616666666667,13000.0,-65.38333333333321,0.00502948717948717,False
9,12905.7,13000.0,-94.29999999999927,0.007253846153846098,False
