player,wins,expected_wins,deviation,percent_deviation,deviation_above_tolerable_threshold
0,17126.583333333332,17000.0,126.58333333333212,0.007446078431372478,False
1,16995.583333333332,17000.0,-4.416666666667879,0.00025980392156869876,False
2,17076.75,17000.0,76.75,0.0045147058823529415,False
3,17078.5,17000.0,78.5,0.004617647058823529,False
4,16740.333333333332,17000.0,-259.6666666666679,0.01527450980392164,True
5,17237.583333333332,17000.0,237.58333333333212,0.01397549019607836,True
6,16897.0,17000.0,-103.0,0.006058823529411765,False
7,16950.916666666668,17000.0,-49.08333333333212,0.002887254901960713,False
8,16940.5,17000.0,-59.5,0.0035,False
9,16956.25,17000.0,-43.75,0.002573529411764706,False
