player,wins,expected_wins,deviation,percent_deviation,deviation_above_tolerable_threshold
0,14121.583333333334,14000.0,121.58333333333394,0.008684523809523852,False
1,13941.666666666666,14000.0,-58.33333333333394,0.00416666666666671,False
2,14115.333333333334,14000.0,115.33333333333394,0.008238095238095282,False
3,13997.5,14000.0,-2.5,0.00017857142857142857,False
4,13897.083333333334,14000.0,-102.91666666666606,0.007351190476190433,False
5,14233.75,14000.0,233.75,0.01669642857142857,True
6,13924.0,14000.0,-76.0,0.0054285714285714284,False
7,13920.5,14000.0,-79.5,0.005678571428571429,False
8,13949.833333333334,14000.0,-50.16666666666606,0.00358333333333329,False
9,13898.75,14000.0,-101.25,0.007232142857142857,False
