player,wins,expected_wins,deviation,percent_deviation,deviation_above_tolerable_threshold
0,20207.016666666666,20000.0,207.01666666666642,0.010350833333333321,True
1,19992.35,20000.0,-7.650000000001455,0.0003825000000000728,False
2,19928.85,20000.0,-71.15000000000146,0.0035575000000000728,False
3,20098.516666666666,20000.0,98.51666666666642,0.004925833333333321,False
4,19677.266666666666,20000.0,-322.7333333333336,0.016136666666666678,True
5,20132.35,20000.0,132.34999999999854,0.006617499999999927,False
6,19883.35,20000.0,-116.65000000000146,0.005832500000000073,False
7,19998.35,20000.0,-1.6500000000014552,8.250000000007276e-05,False
8,20017.1,20000.0,17.099999999998545,0.0008549999999999272,False
9,20064.85,20000.0,64.84999999999854,0.0032424999999999273,False
