player,wins,expected_wins,deviation,percent_deviation,deviation_above_tolerable_threshold
0,8045.683333333333,8000.0,45.683333333333394,0.005710416666666674,False
1,8032.85,8000.0,32.850000000000364,0.004106250000000046,False
2,8093.683333333333,8000.0,93.6833333333334,0.011710416666666675,True
3,7924.35,8000.0,-75.64999999999964,0.009456249999999954,False
4,7908.1,8000.0,-91.89999999999964,0.011487499999999954,True
5,8153.516666666666,8000.0,153.51666666666642,0.0191895833333333,True
6,7987.6,8000.0,-12.399999999999636,0.0015499999999999546,False
7,7978.933333333333,8000.0,-21.066666666666606,0.0026333333333333256,False
8,7947.266666666666,8000.0,-52.733333333333576,0.006591666666666697,False
9,7928.016666666666,8000.0,-71.98333333333358,0.008997916666666697,False
