hole cards flavor,appearances,wins,win ratio,win ratio rounded down to nearest 5%,fewer than expected appearances
Aces paired,3231,1249,0.3865676261219437,0.35000000000000003,False
Kings paired,3170,1045,0.32965299684542587,0.30000000000000004,False
Queens paired,3172,913,0.2878310214375788,0.25,False
"Ace, King suited",2182,583,0.267186067827681,0.25,False
Jacks paired,3105,806,0.25958132045088567,0.25,False
"Ace, Jack suited",2155,527,0.2445475638051044,0.2,False
"King, Queen suited",2133,506,0.2372245663384904,0.2,False
"Ace, Queen suited",2126,504,0.23706491063029161,0.2,False
"King, Jack suited",2058,477,0.23177842565597667,0.2,False
"Ace, 10 suited",2108,485,0.23007590132827324,0.2,False
10s paired,3207,724,0.22575615840349236,0.2,False
"Queen, Jack suited",2120,474,0.22358490566037736,0.2,False
"Ace, King off suit",6344,1388,0.21878940731399749,0.2,False
"King, 10 suited",2169,456,0.21023513139695713,0.2,False
"Ace, Queen off suit",6420,1346,0.20965732087227415,0.2,False
"King, 9 suited",2186,451,0.20631290027447394,0.2,False
"Queen, 10 suited",2153,441,0.20483046911286576,0.2,False
"Jack, 10 suited",2070,423,0.20434782608695654,0.2,False
9s paired,3160,644,0.20379746835443038,0.2,False
"Ace, 5 suited",2096,422,0.2013358778625954,0.2,False
"King, Queen off suit",6368,1282,0.20131909547738694,0.2,False
"Ace, Jack off suit",6297,1264,0.2007305065904399,0.2,False
"Ace, 7 suited",2157,431,0.1998145572554474,0.15000000000000002,False
"Ace, 8 suited",2089,413,0.1977022498803255,0.15000000000000002,False
"Ace, 3 suited",2128,405,0.19031954887218044,0.15000000000000002,False
"Jack, 9 suited",2011,381,0.1894579811039284,0.15000000000000002,False
"Queen, Jack off suit",6451,1218,0.18880793675399163,0.15000000000000002,False
"Ace, 9 suited",2073,390,0.18813314037626627,0.15000000000000002,False
"Ace, 4 suited",2169,407,0.1876440756108806,0.15000000000000002,False
"King, Jack off suit",6364,1182,0.18573224387177875,0.15000000000000002,False
"10, 9 suited",2138,397,0.18568755846585594,0.15000000000000002,False
"King, 7 suited",2148,395,0.18389199255121041,0.15000000000000002,False
"King, 4 suited",2090,382,0.18277511961722487,0.15000000000000002,False
"Ace, 10 off suit",6217,1136,0.1827247868746984,0.15000000000000002,False
"King, 10 off suit",6484,1180,0.18198642813078347,0.15000000000000002,False
"Jack, 10 off suit",6306,1141,0.18093878845543926,0.15000000000000002,False
"King, 8 suited",2139,382,0.17858812529219262,0.15000000000000002,False
"King, 6 suited",2130,380,0.1784037558685446,0.15000000000000002,False
"Queen, 10 off suit",6286,1121,0.17833280305440663,0.15000000000000002,False
"Jack, 8 suited",2104,375,0.1782319391634981,0.15000000000000002,False
"Ace, 2 suited",2163,383,0.17706888580674987,0.15000000000000002,False
8s paired,3115,549,0.17624398073836275,0.15000000000000002,False
"9, 8 suited",2146,378,0.17614165890027958,0.15000000000000002,False
"Ace, 6 suited",2124,368,0.17325800376647835,0.15000000000000002,False
"Queen, 9 suited",2091,361,0.1726446676231468,0.15000000000000002,False
"10, 8 suited",2096,354,0.16889312977099236,0.15000000000000002,False
"Ace, 9 off suit",6278,1056,0.16820643517043646,0.15000000000000002,False
"Queen, 8 suited",2119,351,0.1656441717791411,0.15000000000000002,False
"6, 5 suited",2107,348,0.16516373991457048,0.15000000000000002,False
"9, 6 suited",2131,350,0.1642421398404505,0.15000000000000002,False
"Queen, 7 suited",2097,341,0.1626132570338579,0.15000000000000002,False
"King, 9 off suit",6296,1011,0.16057814485387548,0.15000000000000002,False
7s paired,3210,515,0.16043613707165108,0.15000000000000002,False
"10, 7 suited",2059,330,0.16027197668771248,0.15000000000000002,False
"King, 3 suited",2090,334,0.1598086124401914,0.15000000000000002,False
6s paired,3106,493,0.15872504829362524,0.15000000000000002,False
"9, 7 suited",2127,336,0.15796897038081806,0.15000000000000002,False
"8, 7 suited",2148,339,0.15782122905027932,0.15000000000000002,False
"Ace, 5 off suit",6371,1001,0.15711819180662376,0.15000000000000002,False
"5, 4 suited",2096,328,0.15648854961832062,0.15000000000000002,False
"10, 9 off suit",6369,993,0.15591144606688648,0.15000000000000002,False
"King, 5 suited",2049,319,0.15568570034163007,0.15000000000000002,False
"Ace, 7 off suit",6284,977,0.15547422024188415,0.15000000000000002,False
"Ace, 8 off suit",6247,963,0.1541539939170802,0.15000000000000002,False
"Queen, 6 suited",2081,320,0.15377222489187892,0.15000000000000002,False
"7, 5 suited",2111,322,0.15253434391283752,0.15000000000000002,False
"King, 2 suited",2037,310,0.15218458517427588,0.15000000000000002,False
"7, 6 suited",1998,304,0.15215215215215216,0.15000000000000002,False
"Queen, 4 suited",2115,321,0.15177304964539007,0.15000000000000002,False
"Queen, 9 off suit",6393,970,0.15172845299546378,0.15000000000000002,False
"Jack, 7 suited",2118,320,0.1510859301227573,0.15000000000000002,False
"Queen, 3 suited",2172,326,0.15009208103130756,0.15000000000000002,False
"8, 5 suited",2084,311,0.14923224568138196,0.1,False
"Ace, 6 off suit",6464,956,0.1478960396039604,0.1,False
"10, 4 suited",2146,317,0.1477166821994408,0.1,False
"Queen, 2 suited",2105,308,0.14631828978622327,0.1,False
"Jack, 6 suited",2193,320,0.1459188326493388,0.1,False
"King, 8 off suit",6443,939,0.14573956231569143,0.1,False
"Queen, 5 suited",2041,297,0.14551690347868693,0.1,False
"10, 8 off suit",6427,927,0.1442352575073907,0.1,False
"8, 6 suited",2165,311,0.14364896073903002,0.1,False
"7, 4 suited",2124,305,0.1435969868173258,0.1,False
"9, 5 suited",2163,309,0.14285714285714285,0.1,False
"Ace, 4 off suit",6361,907,0.1425876434522874,0.1,False
"Jack, 9 off suit",6409,910,0.14198782961460446,0.1,False
"8, 4 suited",2097,296,0.14115402956604672,0.1,False
"10, 2 suited",2106,295,0.14007597340930675,0.1,False
5s paired,3260,456,0.13987730061349693,0.1,False
"Jack, 3 suited",2140,299,0.1397196261682243,0.1,False
"Jack, 2 suited",2052,286,0.13937621832358674,0.1,False
"Queen, 8 off suit",6335,881,0.13906866614048935,0.1,False
3s paired,3125,433,0.13856,0.1,False
"5, 3 suited",2175,301,0.13839080459770114,0.1,False
"4, 3 suited",2051,283,0.1379814724524622,0.1,False
"Ace, 2 off suit",6302,861,0.1366232941923199,0.1,False
"10, 5 suited",2183,298,0.1365093907466789,0.1,False
"Ace, 3 off suit",6420,873,0.13598130841121495,0.1,False
"9, 8 off suit",6235,847,0.13584603047313554,0.1,False
"Jack, 8 off suit",6311,856,0.13563619077800665,0.1,False
"9, 2 suited",2040,275,0.13480392156862744,0.1,False
"Jack, 4 suited",2100,283,0.13476190476190475,0.1,False
"5, 2 suited",2082,278,0.1335254562920269,0.1,False
"10, 6 suited",2112,281,0.13304924242424243,0.1,False
"King, 7 off suit",6398,851,0.13301031572366365,0.1,False
4s paired,3150,416,0.13206349206349208,0.1,False
"Jack, 5 suited",2099,277,0.13196760362077178,0.1,False
"6, 4 suited",2116,277,0.13090737240075614,0.1,False
"9, 4 suited",2067,270,0.13062409288824384,0.1,False
"King, 6 off suit",6310,821,0.1301109350237718,0.1,False
2s paired,3129,406,0.1297539149888143,0.1,False
"8, 7 off suit",6284,806,0.1282622533418205,0.1,False
"9, 3 suited",2142,274,0.12791783380018673,0.1,False
"8, 3 suited",2065,264,0.12784503631961258,0.1,False
"10, 3 suited",2140,272,0.12710280373831775,0.1,False
"King, 5 off suit",6194,782,0.1262512108492089,0.1,False
"6, 3 suited",2057,259,0.12591152163344677,0.1,False
"4, 2 suited",2107,261,0.12387280493592787,0.1,False
"Queen, 6 off suit",6323,781,0.12351731772892614,0.1,False
"9, 7 off suit",6484,796,0.12276372609500308,0.1,False
"King, 4 off suit",6401,785,0.12263708795500702,0.1,False
"Jack, 7 off suit",6441,788,0.12234125135848471,0.1,False
"8, 2 suited",2136,261,0.12219101123595505,0.1,False
"7, 6 off suit",6357,770,0.12112631744533585,0.1,False
"Queen, 5 off suit",6417,774,0.12061711079943899,0.1,False
"8, 6 off suit",6234,747,0.11982675649663138,0.1,False
"Queen, 7 off suit",6314,755,0.1195755464048147,0.1,False
"9, 6 off suit",6247,745,0.11925724347686889,0.1,False
"King, 3 off suit",6277,745,0.1186872709893261,0.1,False
"7, 3 suited",2168,257,0.11854243542435425,0.1,False
"10, 7 off suit",6177,723,0.11704711024769306,0.1,False
"3, 2 suited",2132,249,0.11679174484052533,0.1,False
"Jack, 6 off suit",6344,729,0.11491172761664564,0.1,False
"5, 4 off suit",6353,725,0.11411931371005823,0.1,False
"10, 6 off suit",6359,725,0.11401163704985061,0.1,False
"7, 5 off suit",6275,709,0.11298804780876494,0.1,False
"King, 2 off suit",6356,717,0.11280679672750157,0.1,False
"7, 2 suited",2076,232,0.11175337186897881,0.1,False
"6, 5 off suit",6259,681,0.10880332321457102,0.1,False
"6, 2 suited",2169,235,0.10834485938220378,0.1,False
"6, 4 off suit",6323,675,0.10675312351731774,0.1,False
"Jack, 5 off suit",6168,658,0.10667963683527885,0.1,False
"Jack, 4 off suit",6321,656,0.10378104730264198,0.1,False
"8, 5 off suit",6326,655,0.10354094214353463,0.1,False
"9, 5 off suit",6496,667,0.10267857142857142,0.1,False
"Queen, 4 off suit",6228,639,0.10260115606936417,0.1,False
"7, 4 off suit",6361,650,0.1021851910077032,0.1,False
"Queen, 3 off suit",6292,638,0.10139860139860139,0.1,False
"10, 5 off suit",6227,625,0.1003693592420106,0.1,False
"5, 3 off suit",6393,622,0.09729391521977163,0.05,False
"Jack, 2 off suit",6676,646,0.09676452965847814,0.05,False
"Queen, 2 off suit",6334,598,0.09441111461951374,0.05,False
"8, 4 off suit",6321,596,0.09428887834203449,0.05,False
"Jack, 3 off suit",6280,588,0.09363057324840764,0.05,False
"10, 4 off suit",6248,580,0.09282970550576185,0.05,False
"5, 2 off suit",6402,594,0.09278350515463918,0.05,False
"9, 4 off suit",6273,580,0.09245974812689303,0.05,False
"10, 3 off suit",6361,570,0.08960855211444742,0.05,False
"6, 3 off suit",6194,538,0.08685824991927672,0.05,False
"9, 3 off suit",6317,544,0.08611682760804179,0.05,False
"4, 3 off suit",6203,529,0.08528131549250363,0.05,False
"10, 2 off suit",6274,530,0.08447561364360855,0.05,False
"8, 3 off suit",6236,513,0.08226427196921103,0.05,False
"4, 2 off suit",6314,519,0.08219828951536269,0.05,False
"6, 2 off suit",6282,509,0.08102515122572429,0.05,False
"7, 2 off suit",6346,511,0.08052316419791995,0.05,False
"7, 3 off suit",6376,511,0.08014429109159348,0.05,False
"3, 2 off suit",6411,507,0.07908282639213851,0.05,False
"9, 2 off suit",6374,501,0.07860056479447756,0.05,False
"8, 2 off suit",6377,486,0.07621138466363493,0.05,False
