hole cards flavor,appearances,wins,win ratio,win ratio rounded down to nearest 5%,fewer than expected appearances
Aces paired,5323,1803,0.33871876761224873,0.30000000000000004,False
Kings paired,5457,1607,0.2944841487997068,0.25,False
Queens paired,5434,1415,0.2603974972396025,0.25,False
"Ace, King suited",3532,827,0.2341449603624009,0.2,False
"Ace, Queen suited",3754,826,0.22003196590303675,0.2,False
Jacks paired,5364,1165,0.21718866517524235,0.2,False
"Ace, Jack suited",3711,802,0.21611425491781192,0.2,False
"Ace, 10 suited",3710,771,0.2078167115902965,0.2,False
"King, Jack suited",3540,735,0.2076271186440678,0.2,False
"King, Queen suited",3668,749,0.20419847328244276,0.2,False
10s paired,5547,1128,0.20335316387236343,0.2,False
"Ace, King off suit",11030,2238,0.2029011786038078,0.2,False
"Jack, 10 suited",3586,722,0.20133853876185165,0.2,False
"Queen, Jack suited",3609,721,0.199778331947908,0.15000000000000002,False
"Ace, Queen off suit",10877,2038,0.18736784039716833,0.15000000000000002,False
"King, 10 suited",3460,647,0.1869942196531792,0.15000000000000002,False
"10, 9 suited",3605,665,0.18446601941747573,0.15000000000000002,False
"Ace, 7 suited",3592,662,0.18429844097995546,0.15000000000000002,False
"Queen, 10 suited",3557,644,0.1810514478493112,0.15000000000000002,False
"King, 9 suited",3572,646,0.18085106382978725,0.15000000000000002,False
"King, Queen off suit",10894,1960,0.1799155498439508,0.15000000000000002,False
"Queen, 9 suited",3624,652,0.17991169977924945,0.15000000000000002,False
9s paired,5583,988,0.1769657890023285,0.15000000000000002,False
"Ace, 10 off suit",10948,1928,0.1761052246985751,0.15000000000000002,False
"Ace, 9 suited",3685,638,0.17313432835820897,0.15000000000000002,False
"Ace, 3 suited",3675,635,0.1727891156462585,0.15000000000000002,False
"Ace, 8 suited",3587,618,0.17228882074156676,0.15000000000000002,False
"Ace, 5 suited",3593,619,0.1722794322293348,0.15000000000000002,False
"King, Jack off suit",10905,1875,0.171939477303989,0.15000000000000002,False
"Ace, 4 suited",3573,609,0.1704450041981528,0.15000000000000002,False
"Ace, Jack off suit",10739,1828,0.17022069093956607,0.15000000000000002,False
