hole cards flavor,appearances,wins,win ratio,win ratio rounded down to nearest 5%,fewer than expected appearances
Aces paired,1351,478,0.35381199111769057,0.35000000000000003,False
Kings paired,1377,390,0.28322440087145967,0.25,False
Queens paired,1357,346,0.25497420781134855,0.25,False
"Ace, King suited",878,209,0.23804100227790434,0.2,True
"Ace, Queen suited",967,223,0.23061013443640124,0.2,True
"Ace, Jack suited",930,207,0.22258064516129034,0.2,True
"King, Queen suited",894,197,0.2203579418344519,0.2,True
Jacks paired,1326,275,0.20739064856711917,0.2,False
10s paired,1386,282,0.20346320346320346,0.2,False
"Ace, 10 suited",901,183,0.20310765815760268,0.2,True
"Ace, 8 suited",882,176,0.19954648526077098,0.15000000000000002,True
"Jack, 10 suited",920,182,0.19782608695652174,0.15000000000000002,True
"Ace, 7 suited",906,179,0.19757174392935983,0.15000000000000002,True
"Ace, King off suit",2800,552,0.19714285714285715,0.15000000000000002,False
"Ace, 6 suited",875,169,0.19314285714285714,0.15000000000000002,True
"King, Jack suited",895,170,0.18994413407821228,0.15000000000000002,True
"Queen, Jack suited",917,174,0.18974918211559433,0.15000000000000002,True
"King, Queen off suit",2803,528,0.18836960399571887,0.15000000000000002,False
"Ace, 5 suited",937,174,0.18569903948772679,0.15000000000000002,True
"Queen, 10 suited",901,166,0.18423973362930077,0.15000000000000002,True
"10, 9 suited",912,168,0.18421052631578946,0.15000000000000002,True
"King, 10 suited",853,157,0.18405627198124266,0.15000000000000002,True
"King, 9 suited",880,161,0.18295454545454545,0.15000000000000002,True
"Ace, Queen off suit",2724,491,0.1802496328928047,0.15000000000000002,False
"Queen, 9 suited",865,151,0.1745664739884393,0.15000000000000002,True
"Ace, 10 off suit",2725,475,0.1743119266055046,0.15000000000000002,False
"Ace, Jack off suit",2670,462,0.17303370786516853,0.15000000000000002,False
"King, Jack off suit",2717,464,0.17077659182922342,0.15000000000000002,False
"King, 8 suited",927,157,0.16936353829557713,0.15000000000000002,True
"Jack, 10 off suit",2667,450,0.1687289088863892,0.15000000000000002,False
"Jack, 9 suited",884,148,0.167420814479638,0.15000000000000002,True
"King, 7 suited",938,157,0.1673773987206823,0.15000000000000002,True
"Ace, 9 suited",909,152,0.16721672167216722,0.15000000000000002,True
"9, 8 suited",893,148,0.16573348264277715,0.15000000000000002,True
9s paired,1383,229,0.16558206796818511,0.15000000000000002,False
"Ace, 3 suited",907,150,0.16538037486218302,0.15000000000000002,True
8s paired,1426,232,0.16269284712482468,0.15000000000000002,False
"King, 3 suited",878,142,0.16173120728929385,0.15000000000000002,True
"Queen, 8 suited",874,141,0.16132723112128147,0.15000000000000002,True
