hole cards flavor,appearances,wins,win ratio,win ratio rounded down to nearest 10%,fewer than expected appearances
Aces paired,7610,2556,0.3358738501971091,0.30000000000000004,False
Kings paired,7671,2317,0.3020466692738887,0.30000000000000004,False
Queens paired,7728,2008,0.2598343685300207,0.2,False
"Ace, King suited",5020,1182,0.2354581673306773,0.2,False
"Ace, Jack suited",5217,1148,0.22004983707111367,0.2,False
Jacks paired,7579,1665,0.21968597440295554,0.2,False
"Ace, Queen suited",5272,1157,0.21946130500758726,0.2,False
"King, Queen suited",5199,1081,0.20792460088478554,0.2,False
"Jack, 10 suited",5049,1030,0.20400079223608636,0.2,False
"King, Jack suited",5025,1024,0.20378109452736318,0.2,False
"Ace, 10 suited",5243,1067,0.20350944115964142,0.2,False
"Ace, King off suit",15521,3127,0.20146897751433543,0.2,False
10s paired,7902,1577,0.19956972918248544,0.1,False
"Queen, Jack suited",5123,1018,0.19871169236775327,0.1,False
"King, 10 suited",4912,951,0.19360749185667753,0.1,False
"Queen, 10 suited",5011,931,0.18579125922969467,0.1,False
"10, 9 suited",5069,939,0.18524363779838232,0.1,False
"Ace, 7 suited",5058,935,0.1848556741795176,0.1,False
"Ace, Queen off suit",15431,2831,0.1834618624846089,0.1,False
"King, Queen off suit",15309,2728,0.17819583251682017,0.1,False
"King, 9 suited",5102,904,0.17718541748333988,0.1,False
"Queen, 9 suited",5158,908,0.17603722373012795,0.1,False
"Ace, 10 off suit",15479,2719,0.17565734220556883,0.1,False
"Ace, 8 suited",5071,890,0.17550778939065273,0.1,False
9s paired,7865,1380,0.17546090273363002,0.1,False
"Ace, 9 suited",5153,901,0.17484960217349116,0.1,False
8s paired,7792,1348,0.17299794661190965,0.1,False
"Ace, Jack off suit",15370,2636,0.1715029277813923,0.1,False
"Ace, 3 suited",5164,879,0.17021688613477923,0.1,False
"Jack, 9 suited",5114,868,0.1697301525224873,0.1,False
"Ace, 4 suited",5100,864,0.16941176470588235,0.1,False
"King, Jack off suit",15505,2623,0.1691712350854563,0.1,False
"Ace, 2 suited",5053,853,0.16881060755986543,0.1,False
"King, 7 suited",5267,877,0.16650844883235238,0.1,False
"Ace, 6 suited",5143,856,0.1664398211160801,0.1,False
"Ace, 5 suited",5130,849,0.1654970760233918,0.1,False
"Queen, Jack off suit",15367,2525,0.16431313854363247,0.1,False
"10, 8 suited",4903,801,0.16336936569447277,0.1,False
"King, 5 suited",5027,805,0.16013526954445992,0.1,False
"Jack, 10 off suit",15239,2440,0.16011549314259466,0.1,False
"King, 10 off suit",15403,2465,0.16003375965720965,0.1,False
"Queen, 10 off suit",15388,2444,0.15882505848713283,0.1,False
"9, 8 suited",5025,798,0.15880597014925374,0.1,False
"King, 8 suited",5260,835,0.15874524714828897,0.1,False
"King, 6 suited",5072,804,0.15851735015772872,0.1,False
"9, 7 suited",5219,815,0.15616018394328415,0.1,False
"Queen, 8 suited",4998,767,0.15346138455382152,0.1,False
"King, 4 suited",5039,773,0.15340345306608455,0.1,False
"8, 7 suited",5010,756,0.15089820359281436,0.1,False
"10, 7 suited",5152,777,0.15081521739130435,0.1,False
"Jack, 7 suited",5161,767,0.1486146095717884,0.1,False
"Jack, 8 suited",5056,749,0.14814082278481014,0.1,False
"Queen, 6 suited",4945,732,0.1480283114256825,0.1,False
"King, 3 suited",5172,764,0.1477184841453983,0.1,False
"Queen, 7 suited",5200,767,0.1475,0.1,False
7s paired,7836,1150,0.1467585502807555,0.1,False
5s paired,7615,1105,0.14510833880499016,0.1,False
"7, 5 suited",5039,728,0.14447310974399682,0.1,False
"King, 2 suited",5097,729,0.14302530900529722,0.1,False
"5, 4 suited",5007,716,0.14299980027960854,0.1,False
"10, 9 off suit",15271,2178,0.14262327287014603,0.1,False
6s paired,7592,1078,0.14199157007376184,0.1,False
"7, 6 suited",5267,744,0.14125688247579268,0.1,False
"8, 6 suited",5186,731,0.14095642113382184,0.1,False
4s paired,7694,1080,0.14036911879386535,0.1,False
"Jack, 6 suited",5136,718,0.139797507788162,0.1,False
"Ace, 9 off suit",15285,2136,0.13974484789008831,0.1,False
"Queen, 4 suited",5121,711,0.13884007029876977,0.1,False
"Queen, 2 suited",5113,706,0.13807940543712108,0.1,False
"Jack, 9 off suit",15438,2119,0.13725871226842856,0.1,False
"Queen, 5 suited",5185,711,0.13712632594021215,0.1,False
"10, 6 suited",5130,703,0.13703703703703704,0.1,False
"10, 5 suited",5063,693,0.13687537033379418,0.1,False
"Ace, 5 off suit",15343,2096,0.13660952877533727,0.1,False
"6, 4 suited",5125,698,0.13619512195121952,0.1,False
"10, 4 suited",5256,714,0.1358447488584475,0.1,False
"Ace, 8 off suit",15432,2090,0.13543286677034733,0.1,False
"Queen, 9 off suit",15409,2056,0.1334285158024531,0.1,False
"9, 5 suited",5122,683,0.13334634908238968,0.1,False
"6, 5 suited",5088,676,0.13286163522012578,0.1,False
"9, 6 suited",5286,696,0.13166855845629966,0.1,False
"Ace, 7 off suit",15333,2017,0.13154633796386878,0.1,False
"King, 9 off suit",15344,2017,0.13145203336809178,0.1,False
2s paired,7587,997,0.1314089890602346,0.1,False
"Jack, 4 suited",5069,663,0.13079502860524758,0.1,False
"Queen, 3 suited",5228,683,0.13064269319051264,0.1,False
3s paired,7583,980,0.12923644995384412,0.1,False
"5, 3 suited",5237,674,0.12869963719686844,0.1,False
"Jack, 5 suited",5119,657,0.12834537995702286,0.1,False
"Ace, 4 off suit",15524,1979,0.127480030919866,0.1,False
"10, 8 off suit",15372,1958,0.1273744470465782,0.1,False
"9, 8 off suit",15409,1961,0.1272632876890129,0.1,False
