player,wins,expected_wins,deviation,percent_deviation,deviation_above_tolerable_threshold
0,12256.988095238095,12244.285714285714,12.702380952381645,0.0010374129817602557,False
1,12223.404761904761,12244.285714285714,-20.880952380952294,0.0017053630459300674,False
2,12101.57142857143,12244.285714285714,-142.71428571428442,0.011655582779138852,True
3,12288.404761904761,12244.285714285714,44.119047619047706,0.00360323571734143,False
4,12264.82142857143,12244.285714285714,20.535714285715585,0.0016771671916930241,False
5,12232.238095238095,12244.285714285714,-12.047619047618355,0.000983938085793122,False
6,12342.57142857143,12244.285714285714,98.28571428571558,0.008027068020067777,False
