hole cards flavor,appearances,wins,win ratio,win ratio rounded down to nearest 10%,fewer than expected appearances
Aces paired,3193,2425,0.7594738490447854,0.7000000000000001,False
Kings paired,3152,2186,0.6935279187817259,0.6000000000000001,False
Queens paired,3231,2131,0.6595481275147014,0.6000000000000001,False
Jacks paired,3193,2007,0.6285624804259318,0.6000000000000001,False
10s paired,3087,1826,0.5915127955944283,0.5,False
9s paired,3119,1687,0.5408784866944534,0.5,False
8s paired,3150,1602,0.5085714285714286,0.5,False
"Ace, Jack suited",2151,1088,0.5058112505811251,0.5,False
"Ace, Queen suited",1988,1001,0.5035211267605634,0.5,False
"Ace, King suited",2170,1092,0.5032258064516129,0.5,False
"Ace, King off suit",6271,3112,0.49625259129325466,0.4,False
"King, Jack suited",2165,1044,0.48221709006928404,0.4,False
"Ace, Queen off suit",6430,3098,0.4818040435458787,0.4,False
"King, Queen suited",2132,1026,0.4812382739212008,0.4,False
7s paired,3235,1554,0.480370942812983,0.4,False
"Ace, Jack off suit",6417,2992,0.46626149290945923,0.4,False
"King, 10 suited",2059,959,0.46576007770762506,0.4,False
"Ace, 10 suited",2185,1006,0.4604118993135011,0.4,False
"Queen, Jack suited",2139,977,0.45675549322113135,0.4,False
"Ace, 9 suited",2104,960,0.45627376425855515,0.4,False
"Ace, 8 suited",2137,974,0.45577912962096395,0.4,False
"King, Queen off suit",6397,2909,0.4547444114428638,0.4,False
"King, Jack off suit",6307,2842,0.4506104328523862,0.4,False
"Ace, 10 off suit",6509,2919,0.4484559840221232,0.4,False
"Queen, 10 suited",2172,974,0.44843462246777166,0.4,False
6s paired,3050,1359,0.4455737704918033,0.4,False
"Ace, 5 suited",2054,913,0.4444985394352483,0.4,False
"Ace, 6 suited",2122,932,0.43920829406220546,0.4,False
"Jack, 10 suited",2151,942,0.43793584379358436,0.4,False
"Queen, 9 suited",2179,949,0.43552088113813675,0.4,False
"Ace, 7 suited",2209,962,0.4354911724762336,0.4,False
"King, 10 off suit",6414,2790,0.43498596819457436,0.4,False
"King, 9 suited",2159,933,0.4321445113478462,0.4,False
"Ace, 9 off suit",6247,2647,0.42372338722586844,0.4,False
"Queen, Jack off suit",6260,2649,0.4231629392971246,0.4,False
"Ace, 7 off suit",6336,2672,0.4217171717171717,0.4,False
"Jack, 9 suited",2081,875,0.4204709274387314,0.4,False
"Ace, 8 off suit",6289,2637,0.4193035458737478,0.4,False
"Ace, 4 suited",2019,846,0.41901931649331353,0.4,False
"Ace, 3 suited",2052,854,0.4161793372319688,0.4,False
"Queen, 10 off suit",6377,2652,0.4158695311274894,0.4,False
"Jack, 10 off suit",6279,2591,0.41264532568880397,0.4,False
5s paired,3228,1330,0.41201982651796776,0.4,False
"King, 7 suited",2120,870,0.41037735849056606,0.4,False
"Ace, 5 off suit",6221,2537,0.4078122488345925,0.4,False
"King, 5 suited",2113,855,0.4046379555134879,0.4,False
"King, 9 off suit",6304,2542,0.40323604060913704,0.4,False
"King, 6 suited",2062,831,0.4030067895247333,0.4,False
"King, 8 suited",2128,852,0.40037593984962405,0.4,False
"10, 9 suited",2185,870,0.39816933638443935,0.30000000000000004,False
"King, 4 suited",2133,848,0.39756211908110645,0.30000000000000004,False
"Ace, 6 off suit",6262,2483,0.39651868412647717,0.30000000000000004,False
"Ace, 4 off suit",6357,2514,0.3954695611137329,0.30000000000000004,False
"Queen, 8 suited",2042,807,0.3952007835455436,0.30000000000000004,False
"Jack, 8 suited",2173,855,0.39346525540727106,0.30000000000000004,False
"Queen, 9 off suit",6330,2486,0.39273301737756716,0.30000000000000004,False
"Ace, 3 off suit",6267,2455,0.3917344822083932,0.30000000000000004,False
"King, 3 suited",2130,834,0.39154929577464787,0.30000000000000004,False
"Ace, 2 suited",2110,826,0.3914691943127962,0.30000000000000004,False
"Jack, 7 suited",2133,826,0.38724800750117205,0.30000000000000004,False
"Queen, 7 suited",2077,804,0.3870967741935484,0.30000000000000004,False
"10, 8 suited",2019,772,0.38236750866765723,0.30000000000000004,False
"King, 8 off suit",6194,2358,0.3806909912818857,0.30000000000000004,False
"Jack, 9 off suit",6379,2428,0.38062392224486596,0.30000000000000004,False
"Queen, 6 suited",2109,796,0.37743006164058795,0.30000000000000004,False
"King, 7 off suit",6332,2388,0.37713202779532534,0.30000000000000004,False
"10, 9 off suit",6378,2402,0.37660708686108496,0.30000000000000004,False
"9, 8 suited",2149,800,0.3722661703117729,0.30000000000000004,False
4s paired,3178,1181,0.37161736941472623,0.30000000000000004,False
"King, 2 suited",2148,797,0.3710428305400372,0.30000000000000004,False
"Queen, 8 off suit",6459,2396,0.3709552562316148,0.30000000000000004,False
"King, 5 off suit",6269,2299,0.3667251555271973,0.30000000000000004,False
"Jack, 8 off suit",6287,2301,0.36599331954827424,0.30000000000000004,False
"Ace, 2 off suit",6414,2344,0.36545057686311194,0.30000000000000004,False
"King, 6 off suit",6330,2300,0.36334913112164297,0.30000000000000004,False
"10, 8 off suit",6280,2262,0.36019108280254775,0.30000000000000004,False
"Queen, 5 suited",2191,789,0.360109539023277,0.30000000000000004,False
"10, 7 suited",2122,762,0.3590951932139491,0.30000000000000004,False
"Jack, 5 suited",2236,800,0.35778175313059035,0.30000000000000004,False
"Queen, 3 suited",2094,749,0.3576886341929322,0.30000000000000004,False
"Queen, 4 suited",2144,764,0.35634328358208955,0.30000000000000004,False
"King, 4 off suit",6324,2246,0.3551549652118912,0.30000000000000004,False
"9, 6 suited",2078,738,0.3551491819056785,0.30000000000000004,False
"8, 7 suited",2096,739,0.3525763358778626,0.30000000000000004,False
"Queen, 2 suited",2149,756,0.3517915309446254,0.30000000000000004,False
"9, 7 suited",2092,733,0.35038240917782026,0.30000000000000004,False
"Queen, 7 off suit",6490,2273,0.350231124807396,0.30000000000000004,False
"King, 3 off suit",6254,2190,0.3501758874320435,0.30000000000000004,False
"7, 6 suited",2198,768,0.3494085532302093,0.30000000000000004,False
"Queen, 6 off suit",6445,2238,0.34724592707525215,0.30000000000000004,False
"Jack, 4 suited",2045,709,0.3466992665036675,0.30000000000000004,False
3s paired,3181,1096,0.34454574033322855,0.30000000000000004,False
"9, 8 off suit",6369,2194,0.34448108023237556,0.30000000000000004,False
"10, 6 suited",2100,723,0.3442857142857143,0.30000000000000004,False
"Jack, 7 off suit",6254,2138,0.3418612088263511,0.30000000000000004,False
"King, 2 off suit",6349,2141,0.337218459599937,0.30000000000000004,False
"8, 6 suited",2015,669,0.33200992555831266,0.30000000000000004,False
"10, 5 suited",2055,682,0.3318734793187348,0.30000000000000004,False
"10, 7 off suit",6466,2128,0.32910609341169195,0.30000000000000004,False
"5, 4 suited",2149,707,0.3289902280130293,0.30000000000000004,False
"Queen, 4 off suit",6226,2043,0.32814005782203665,0.30000000000000004,False
"Jack, 2 suited",2149,705,0.3280595625872499,0.30000000000000004,False
"Jack, 3 suited",2134,696,0.3261480787253983,0.30000000000000004,False
"9, 5 suited",2117,690,0.32593292394898443,0.30000000000000004,False
"Queen, 5 off suit",6239,2033,0.3258535021638083,0.30000000000000004,False
"8, 7 off suit",6354,2059,0.3240478438778722,0.30000000000000004,False
"Jack, 6 off suit",6196,2003,0.3232730794060684,0.30000000000000004,False
"10, 4 suited",2116,682,0.3223062381852552,0.30000000000000004,False
"10, 3 suited",2020,644,0.3188118811881188,0.30000000000000004,False
"Jack, 6 suited",2119,672,0.3171307220386975,0.30000000000000004,False
"Queen, 2 off suit",6496,2058,0.3168103448275862,0.30000000000000004,False
"9, 7 off suit",6432,2020,0.31405472636815923,0.30000000000000004,False
"Jack, 5 off suit",6355,1991,0.3132966168371361,0.30000000000000004,False
"10, 2 suited",2037,638,0.3132056946489936,0.30000000000000004,False
"9, 4 suited",2044,640,0.3131115459882583,0.30000000000000004,False
"7, 5 suited",2133,667,0.3127051101734646,0.30000000000000004,False
"8, 5 suited",2181,681,0.312242090784044,0.30000000000000004,False
2s paired,3137,977,0.3114440548294549,0.30000000000000004,False
"Queen, 3 off suit",6368,1973,0.30983040201005024,0.30000000000000004,False
"9, 3 suited",2038,631,0.3096172718351325,0.30000000000000004,False
"Jack, 4 off suit",6276,1938,0.30879541108986613,0.30000000000000004,False
"6, 4 suited",2157,666,0.3087621696801113,0.30000000000000004,False
"10, 6 off suit",6366,1962,0.3081998114985862,0.30000000000000004,False
"8, 4 suited",2141,657,0.30686595049042503,0.30000000000000004,False
"6, 5 suited",2071,632,0.3051665861902463,0.30000000000000004,False
"9, 6 off suit",6457,1958,0.303236797274276,0.30000000000000004,False
"7, 4 suited",2180,661,0.30321100917431193,0.30000000000000004,False
"9, 2 suited",2102,634,0.3016175071360609,0.30000000000000004,False
"6, 3 suited",2012,606,0.30119284294234594,0.30000000000000004,False
"8, 6 off suit",6364,1914,0.30075424261470773,0.30000000000000004,False
"10, 4 off suit",6299,1857,0.294808699793618,0.2,False
"7, 6 off suit",6290,1844,0.2931637519872814,0.2,False
"Jack, 3 off suit",6366,1860,0.292177191328935,0.2,False
"5, 3 suited",2128,621,0.2918233082706767,0.2,False
"7, 3 suited",2117,617,0.29145016532829476,0.2,False
"10, 5 off suit",6283,1831,0.2914212955594461,0.2,False
"6, 5 off suit",6345,1817,0.2863672182821119,0.2,False
"4, 3 suited",2093,596,0.28475871954132825,0.2,False
"8, 5 off suit",6186,1754,0.2835434852893631,0.2,False
"Jack, 2 off suit",6325,1789,0.28284584980237154,0.2,False
"9, 5 off suit",6210,1735,0.27938808373590984,0.2,False
"10, 3 off suit",6502,1815,0.2791448784989234,0.2,False
"7, 5 off suit",6392,1777,0.2780037546933667,0.2,False
"5, 2 suited",2150,595,0.27674418604651163,0.2,False
"5, 4 off suit",6302,1729,0.27435734687400826,0.2,False
"6, 2 suited",2115,576,0.2723404255319149,0.2,False
"4, 2 suited",2195,594,0.2706150341685649,0.2,False
"6, 4 off suit",6251,1671,0.2673172292433211,0.2,False
"7, 4 off suit",6174,1649,0.26708778749595075,0.2,False
"8, 3 suited",2114,564,0.2667928098391675,0.2,False
"8, 4 off suit",6462,1718,0.26586196224079234,0.2,False
"10, 2 off suit",6267,1661,0.2650390936652306,0.2,False
"9, 4 off suit",6366,1675,0.26311655670750866,0.2,False
"8, 2 suited",2060,535,0.25970873786407767,0.2,False
"9, 3 off suit",6383,1644,0.2575591414695284,0.2,False
"3, 2 suited",2139,546,0.2552594670406732,0.2,False
"7, 2 suited",2180,551,0.2527522935779816,0.2,False
"6, 3 off suit",6388,1609,0.2518785222291797,0.2,False
"5, 3 off suit",6333,1587,0.2505921364282331,0.2,False
"8, 3 off suit",6403,1570,0.2451975636420428,0.2,False
"9, 2 off suit",6372,1553,0.24372253609541744,0.2,False
"8, 2 off suit",6274,1528,0.24354478801402615,0.2,False
"4, 3 off suit",6441,1564,0.24281943797546965,0.2,False
"7, 3 off suit",6114,1479,0.24190382728164866,0.2,False
"6, 2 off suit",6350,1466,0.23086614173228345,0.2,False
"4, 2 off suit",6265,1446,0.23080606544293694,0.2,False
"5, 2 off suit",6182,1407,0.2275962471692009,0.2,False
"7, 2 off suit",6329,1394,0.22025596460736294,0.2,False
"3, 2 off suit",6264,1340,0.21392081736909324,0.2,False
