card name,appearances,probability of appearing in a hand,expected_appearances,deviation,percent_deviation,deviation_above_tolerable_threshold
2 of Clubs,48169,0.4807692307692308,48076.92307692308,92.07692307692196,0.0019151999999999767,False
3 of Clubs,48284,0.4807692307692308,48076.92307692308,207.07692307692196,0.004307199999999976,False
4 of Clubs,48208,0.4807692307692308,48076.92307692308,131.07692307692196,0.0027263999999999765,False
5 of Clubs,47983,0.4807692307692308,48076.92307692308,-93.92307692307804,0.001953600000000023,False
6 of Clubs,48190,0.4807692307692308,48076.92307692308,113.07692307692196,0.0023519999999999765,False
7 of Clubs,47860,0.4807692307692308,48076.92307692308,-216.92307692307804,0.004512000000000023,False
8 of Clubs,47953,0.4807692307692308,48076.92307692308,-123.92307692307804,0.002577600000000023,False
9 of Clubs,48157,0.4807692307692308,48076.92307692308,80.07692307692196,0.0016655999999999767,False
10 of Clubs,48006,0.4807692307692308,48076.92307692308,-70.92307692307804,0.0014752000000000233,False
Jack of Clubs,47751,0.4807692307692308,48076.92307692308,-325.92307692307804,0.006779200000000023,False
Queen of Clubs,48001,0.4807692307692308,48076.92307692308,-75.92307692307804,0.0015792000000000232,False
King of Clubs,48106,0.4807692307692308,48076.92307692308,29.076923076921958,0.0006047999999999768,False
Ace of Clubs,47789,0.4807692307692308,48076.92307692308,-287.92307692307804,0.005988800000000023,False
2 of Diamonds,48089,0.4807692307692308,48076.92307692308,12.076923076921958,0.0002511999999999767,False
3 of Diamonds,48071,0.4807692307692308,48076.92307692308,-5.9230769230780425,0.00012320000000002327,False
4 of Diamonds,48076,0.4807692307692308,48076.92307692308,-0.9230769230780425,1.9200000000023282e-05,False
5 of Diamonds,47783,0.4807692307692308,48076.92307692308,-293.92307692307804,0.006113600000000023,False
6 of Diamonds,48240,0.4807692307692308,48076.92307692308,163.07692307692196,0.0033919999999999766,False
7 of Diamonds,47897,0.4807692307692308,48076.92307692308,-179.92307692307804,0.0037424000000000233,False
8 of Diamonds,48105,0.4807692307692308,48076.92307692308,28.076923076921958,0.0005839999999999767,False
9 of Diamonds,48065,0.4807692307692308,48076.92307692308,-11.923076923078042,0.00024800000000002327,False
10 of Diamonds,48220,0.4807692307692308,48076.92307692308,143.07692307692196,0.0029759999999999765,False
Jack of Diamonds,47938,0.4807692307692308,48076.92307692308,-138.92307692307804,0.0028896000000000234,False
Queen of Diamonds,47860,0.4807692307692308,48076.92307692308,-216.92307692307804,0.004512000000000023,False
King of Diamonds,48144,0.4807692307692308,48076.92307692308,67.07692307692196,0.0013951999999999767,False
Ace of Diamonds,48229,0.4807692307692308,48076.92307692308,152.07692307692196,0.0031631999999999767,False
2 of Hearts,48480,0.4807692307692308,48076.92307692308,403.07692307692196,0.008383999999999977,False
3 of Hearts,48428,0.4807692307692308,48076.92307692308,351.07692307692196,0.007302399999999976,False
4 of Hearts,48010,0.4807692307692308,48076.92307692308,-66.92307692307804,0.0013920000000000232,False
5 of Hearts,48206,0.4807692307692308,48076.92307692308,129.07692307692196,0.002684799999999977,False
6 of Hearts,48247,0.4807692307692308,48076.92307692308,170.07692307692196,0.0035375999999999767,False
7 of Hearts,48152,0.4807692307692308,48076.92307692308,75.07692307692196,0.0015615999999999766,False
8 of Hearts,48367,0.4807692307692308,48076.92307692308,290.07692307692196,0.006033599999999977,False
9 of Hearts,48060,0.4807692307692308,48076.92307692308,-16.923076923078042,0.0003520000000000233,False
10 of Hearts,48027,0.4807692307692308,48076.92307692308,-49.92307692307804,0.0010384000000000233,False
Jack of Hearts,48258,0.4807692307692308,48076.92307692308,181.07692307692196,0.0037663999999999766,False
Queen of Hearts,48101,0.4807692307692308,48076.92307692308,24.076923076921958,0.0005007999999999767,False
King of Hearts,48083,0.4807692307692308,48076.92307692308,6.0769230769219575,0.00012639999999997673,False
Ace of Hearts,48027,0.4807692307692308,48076.92307692308,-49.92307692307804,0.0010384000000000233,False
2 of Spades,48007,0.4807692307692308,48076.92307692308,-69.92307692307804,0.0014544000000000232,False
3 of Spades,48073,0.4807692307692308,48076.92307692308,-3.9230769230780425,8.160000000002327e-05,False
4 of Spades,48135,0.4807692307692308,48076.92307692308,58.07692307692196,0.0012079999999999767,False
5 of Spades,47856,0.4807692307692308,48076.92307692308,-220.92307692307804,0.004595200000000023,False
6 of Spades,48097,0.4807692307692308,48076.92307692308,20.076923076921958,0.0004175999999999767,False
7 of Spades,47912,0.4807692307692308,48076.92307692308,-164.92307692307804,0.003430400000000023,False
8 of Spades,47973,0.4807692307692308,48076.92307692308,-103.92307692307804,0.002161600000000023,False
9 of Spades,48039,0.4807692307692308,48076.92307692308,-37.92307692307804,0.0007888000000000233,False
10 of Spades,48199,0.4807692307692308,48076.92307692308,122.07692307692196,0.0025391999999999767,False
Jack of Spades,47936,0.4807692307692308,48076.92307692308,-140.92307692307804,0.002931200000000023,False
Queen of Spades,48030,0.4807692307692308,48076.92307692308,-46.92307692307804,0.0009760000000000233,False
King of Spades,47947,0.4807692307692308,48076.92307692308,-129.92307692307804,0.002702400000000023,False
Ace of Spades,48176,0.4807692307692308,48076.92307692308,99.07692307692196,0.002060799999999977,False
