hole cards flavor,appearances,wins,win ratio,win ratio rounded down to nearest 5%
"5, 3 off suit",15,7,0.4666666666666667,0.45
"7, 4 suited",13,6,0.46153846153846156,0.45
"10, 2 off suit",22,10,0.45454545454545453,0.45
"Queen, 10 suited",9,4,0.4444444444444444,0.4
"Ace, 6 suited",9,4,0.4444444444444444,0.4
"Ace, 3 off suit",18,8,0.4444444444444444,0.4
"Ace, 2 off suit",16,7,0.4375,0.4
"3, 2 off suit",16,7,0.4375,0.4
"Jack, 2 off suit",23,10,0.43478260869565216,0.4
"Jack, 4 off suit",21,9,0.42857142857142855,0.4
"7, 4 off suit",14,6,0.42857142857142855,0.4
"10, 7 suited",7,3,0.42857142857142855,0.4
6s paired,7,3,0.42857142857142855,0.4
"8, 5 off suit",28,12,0.42857142857142855,0.4
"Queen, 3 off suit",22,9,0.4090909090909091,0.4
"6, 4 off suit",27,11,0.4074074074074074,0.4
"10, 4 off suit",30,12,0.4,0.4
"10, 2 suited",5,2,0.4,0.4
"5, 2 off suit",20,8,0.4,0.4
"7, 6 suited",5,2,0.4,0.4
"9, 4 off suit",20,8,0.4,0.4
"8, 6 suited",5,2,0.4,0.4
"Queen, 2 off suit",25,10,0.4,0.4
"9, 5 suited",10,4,0.4,0.4
"10, 9 off suit",25,10,0.4,0.4
"8, 6 off suit",23,9,0.391304347826087,0.35000000000000003
"Jack, 3 off suit",18,7,0.3888888888888889,0.35000000000000003
"5, 4 off suit",21,8,0.38095238095238093,0.35000000000000003
"6, 2 suited",8,3,0.375,0.35000000000000003
"7, 3 off suit",24,9,0.375,0.35000000000000003
"4, 2 suited",8,3,0.375,0.35000000000000003
"Jack, 6 off suit",24,9,0.375,0.35000000000000003
"3, 2 suited",8,3,0.375,0.35000000000000003
"9, 6 off suit",19,7,0.3684210526315789,0.35000000000000003
"4, 2 off suit",30,11,0.36666666666666664,0.35000000000000003
"6, 2 off suit",11,4,0.36363636363636365,0.35000000000000003
"Jack, 7 suited",11,4,0.36363636363636365,0.35000000000000003
"8, 3 off suit",22,8,0.36363636363636365,0.35000000000000003
"King, 3 suited",14,5,0.35714285714285715,0.35000000000000003
"King, Queen suited",3,1,0.3333333333333333,0.30000000000000004
"4, 3 suited",9,3,0.3333333333333333,0.30000000000000004
"Ace, 8 suited",3,1,0.3333333333333333,0.30000000000000004
"10, 5 suited",6,2,0.3333333333333333,0.30000000000000004
"10, 5 off suit",22,7,0.3181818181818182,0.30000000000000004
"7, 2 off suit",22,7,0.3181818181818182,0.30000000000000004
"9, 2 off suit",19,6,0.3157894736842105,0.30000000000000004
"King, 6 off suit",16,5,0.3125,0.30000000000000004
"7, 6 off suit",14,4,0.2857142857142857,0.25
"8, 2 suited",7,2,0.2857142857142857,0.25
"8, 7 suited",7,2,0.2857142857142857,0.25
"10, 7 off suit",22,6,0.2727272727272727,0.25
"9, 4 suited",4,1,0.25,0.2
"10, 8 suited",4,1,0.25,0.2
"Jack, 8 suited",8,2,0.25,0.2
"4, 3 off suit",16,4,0.25,0.2
"6, 3 suited",4,1,0.25,0.2
"9, 3 suited",9,2,0.2222222222222222,0.2
"8, 3 suited",9,2,0.2222222222222222,0.2
"7, 5 off suit",24,5,0.20833333333333334,0.2
"9, 2 suited",5,1,0.2,0.2
"Queen, 2 suited",5,1,0.2,0.2
"Jack, 4 suited",5,1,0.2,0.2
"9, 6 suited",8,1,0.125,0.1
