hole cards flavor,appearances,wins,win ratio,win ratio rounded down to nearest 5%,fewer than expected appearances
"Jack, 3 off suit",1813,206,0.1136238279095422,0.1,False
"Jack, 4 off suit",1855,208,0.11212938005390835,0.1,False
"9, 5 off suit",1682,187,0.11117717003567182,0.1,False
"Queen, 2 off suit",1768,195,0.11029411764705882,0.1,False
"Queen, 3 off suit",1787,196,0.10968102965864578,0.1,False
"9, 2 off suit",1861,200,0.10746910263299302,0.1,False
"4, 3 off suit",1804,193,0.10698447893569844,0.1,False
"Jack, 2 off suit",1804,191,0.10587583148558759,0.1,False
"10, 3 off suit",1712,171,0.09988317757009346,0.05,False
"6, 3 off suit",1821,181,0.09939593629873696,0.05,False
"5, 2 off suit",1852,182,0.09827213822894168,0.05,False
"9, 4 off suit",1856,181,0.09752155172413793,0.05,False
"6, 2 off suit",1836,179,0.09749455337690632,0.05,False
"7, 4 off suit",1901,180,0.09468700683850605,0.05,False
"7, 3 off suit",1859,170,0.0914470145239376,0.05,False
"10, 2 off suit",1772,162,0.09142212189616253,0.05,False
"9, 3 off suit",1773,161,0.09080654258319233,0.05,False
"3, 2 off suit",1779,161,0.09050028105677346,0.05,False
"8, 2 off suit",1807,161,0.08909795240730492,0.05,False
"8, 4 off suit",1773,157,0.08855047941342357,0.05,False
"4, 2 off suit",1748,139,0.07951945080091533,0.05,False
"7, 2 off suit",1819,142,0.07806487080813634,0.05,False
"8, 3 off suit",1823,135,0.07405375754251234,0.05,False
