hole cards flavor,appearances,wins,win ratio,win ratio rounded down to nearest 5%,fewer than expected appearances
Aces paired,4061,2064,0.5082491997045063,0.5,False
Kings paired,4064,1777,0.437253937007874,0.4,False
Queens paired,4102,1585,0.386396879570941,0.35000000000000003,False
Jacks paired,3989,1369,0.3431937829029832,0.30000000000000004,False
"Ace, King suited",2729,852,0.31220227189446687,0.30000000000000004,False
"Ace, Queen suited",2790,861,0.3086021505376344,0.30000000000000004,False
10s paired,4148,1276,0.3076181292189007,0.30000000000000004,False
"Ace, Jack suited",2585,781,0.3021276595744681,0.30000000000000004,False
"Ace, 10 suited",2697,803,0.29773822766036334,0.25,False
"Ace, King off suit",8105,2399,0.2959901295496607,0.25,False
"King, Queen suited",2686,779,0.29002233804914374,0.25,False
"King, Jack suited",2711,768,0.283290298782737,0.25,False
"King, 10 suited",2716,759,0.27945508100147276,0.25,False
9s paired,4107,1132,0.275626978329681,0.25,False
"Queen, 10 suited",2662,733,0.27535687453042823,0.25,False
"Ace, Queen off suit",8139,2231,0.2741122988082074,0.25,False
"Queen, Jack suited",2695,730,0.27087198515769945,0.25,False
"Ace, Jack off suit",8077,2128,0.2634641574842144,0.25,False
"Jack, 10 suited",2654,698,0.2629992464204974,0.25,False
"Ace, 9 suited",2714,698,0.2571849668386146,0.25,False
"King, Queen off suit",8169,2082,0.25486595666544254,0.25,False
"10, 9 suited",2766,691,0.24981923355025307,0.2,False
"King, Jack off suit",8268,2053,0.24830672472181906,0.2,False
"Ace, 8 suited",2765,686,0.2481012658227848,0.2,False
8s paired,4088,1014,0.24804305283757339,0.2,False
"Jack, 9 suited",2803,688,0.24545130217623976,0.2,False
"Queen, Jack off suit",8236,2005,0.24344341913550266,0.2,False
"Ace, 10 off suit",8005,1942,0.24259837601499062,0.2,False
"Ace, 7 suited",2680,646,0.24104477611940298,0.2,False
"King, 10 off suit",8033,1931,0.2403834183991037,0.2,False
"King, 9 suited",2718,651,0.23951434878587197,0.2,False
"Ace, 5 suited",2675,640,0.23925233644859814,0.2,False
"Queen, 9 suited",2602,618,0.23750960799385087,0.2,False
"Ace, 4 suited",2704,639,0.23631656804733728,0.2,False
"Ace, 6 suited",2721,642,0.23594266813671444,0.2,False
"Queen, 10 off suit",8209,1919,0.23376781581191375,0.2,False
"Ace, 3 suited",2748,642,0.2336244541484716,0.2,False
"Jack, 10 off suit",7991,1833,0.22938305593793018,0.2,False
"9, 8 suited",2722,621,0.2281410727406319,0.2,False
"Ace, 2 suited",2675,609,0.22766355140186917,0.2,False
"King, 8 suited",2727,619,0.226989365603227,0.2,False
"King, 7 suited",2667,605,0.2268466441694788,0.2,False
"10, 8 suited",2697,608,0.22543566926214312,0.2,False
"Queen, 8 suited",2739,608,0.22197882438846295,0.2,False
"Jack, 8 suited",2774,613,0.2209805335255948,0.2,False
7s paired,3987,877,0.2199648858791071,0.2,False
"King, 6 suited",2697,592,0.21950315164998146,0.2,False
"King, 4 suited",2677,577,0.2155397833395592,0.2,False
"Ace, 9 off suit",8157,1736,0.2128233419149197,0.2,False
"Queen, 7 suited",2712,577,0.21275811209439527,0.2,False
"King, 9 off suit",8021,1699,0.2118189751901259,0.2,False
"8, 7 suited",2701,567,0.20992225101814144,0.2,False
"9, 7 suited",2766,579,0.20932754880694143,0.2,False
"King, 5 suited",2771,579,0.20894983760375316,0.2,False
"Ace, 8 off suit",8182,1705,0.20838425812759717,0.2,False
"10, 7 suited",2784,578,0.20761494252873564,0.2,False
"Queen, 9 off suit",8092,1680,0.20761245674740483,0.2,False
"10, 9 off suit",8193,1666,0.20334431832051753,0.2,False
"King, 3 suited",2805,570,0.20320855614973263,0.2,False
"Ace, 7 off suit",8093,1630,0.2014086247374274,0.2,False
"Queen, 4 suited",2786,561,0.20136396267049533,0.2,False
"Jack, 9 off suit",8183,1644,0.20090431382133692,0.2,False
"Jack, 7 suited",2759,552,0.2000724900326205,0.2,False
"Ace, 4 off suit",8178,1626,0.1988261188554659,0.15000000000000002,False
"Ace, 6 off suit",8191,1628,0.19875473080209988,0.15000000000000002,False
6s paired,4126,820,0.19873969946679593,0.15000000000000002,False
"Ace, 5 off suit",8345,1655,0.1983223487118035,0.15000000000000002,False
"10, 6 suited",2659,526,0.1978187288454306,0.15000000000000002,False
"Queen, 6 suited",2684,525,0.19560357675111772,0.15000000000000002,False
"Queen, 5 suited",2675,522,0.19514018691588786,0.15000000000000002,False
"King, 2 suited",2749,535,0.19461622408148418,0.15000000000000002,False
"Jack, 3 suited",2709,513,0.1893687707641196,0.15000000000000002,False
"5, 4 suited",2666,503,0.1886721680420105,0.15000000000000002,False
4s paired,4005,753,0.18801498127340824,0.15000000000000002,False
"7, 6 suited",2668,501,0.18778110944527737,0.15000000000000002,False
"Ace, 3 off suit",8206,1533,0.1868145259566171,0.15000000000000002,False
"Queen, 3 suited",2682,500,0.18642803877703207,0.15000000000000002,False
"King, 8 off suit",8133,1509,0.18554039099963113,0.15000000000000002,False
"8, 6 suited",2726,505,0.18525311812179016,0.15000000000000002,False
"9, 6 suited",2673,495,0.18518518518518517,0.15000000000000002,False
"Jack, 8 off suit",8096,1499,0.18515316205533597,0.15000000000000002,False
"King, 6 off suit",8119,1497,0.18438231309274541,0.15000000000000002,False
"King, 7 off suit",7965,1463,0.18367859384808538,0.15000000000000002,False
"9, 5 suited",2658,486,0.18284424379232506,0.15000000000000002,False
"Jack, 5 suited",2674,488,0.1824981301421092,0.15000000000000002,False
5s paired,4046,737,0.18215521502718734,0.15000000000000002,False
"5, 3 suited",2698,488,0.1808747220163084,0.15000000000000002,False
"Ace, 2 off suit",8186,1475,0.18018568287319814,0.15000000000000002,False
"7, 4 suited",2723,490,0.17994858611825193,0.15000000000000002,False
"Jack, 6 suited",2748,492,0.17903930131004367,0.15000000000000002,False
"6, 5 suited",2755,493,0.17894736842105263,0.15000000000000002,False
"10, 8 off suit",8095,1444,0.17838171710932674,0.15000000000000002,False
"8, 5 suited",2630,468,0.1779467680608365,0.15000000000000002,False
"Queen, 8 off suit",8210,1459,0.17771010962241168,0.15000000000000002,False
"9, 8 off suit",8161,1450,0.17767430461953193,0.15000000000000002,False
"10, 4 suited",2745,486,0.17704918032786884,0.15000000000000002,False
"7, 5 suited",2696,475,0.17618694362017803,0.15000000000000002,False
"Jack, 4 suited",2811,495,0.17609391675560299,0.15000000000000002,False
"10, 7 off suit",8160,1427,0.17487745098039215,0.15000000000000002,False
"King, 5 off suit",8112,1375,0.16950197238658776,0.15000000000000002,False
"8, 4 suited",2651,445,0.16786118445869483,0.15000000000000002,False
"Queen, 2 suited",2680,449,0.16753731343283582,0.15000000000000002,False
"King, 4 off suit",8202,1371,0.16715435259692757,0.15000000000000002,False
"Jack, 2 suited",2705,452,0.16709796672828095,0.15000000000000002,False
3s paired,4048,674,0.166501976284585,0.15000000000000002,False
"6, 4 suited",2613,435,0.16647531572904709,0.15000000000000002,False
"Queen, 7 off suit",8113,1347,0.16602982867003574,0.15000000000000002,False
"King, 3 off suit",8144,1351,0.16588899803536344,0.15000000000000002,False
"8, 7 off suit",8084,1338,0.16551212271152896,0.15000000000000002,False
"Jack, 7 off suit",8063,1330,0.16495101079002852,0.15000000000000002,False
"Queen, 5 off suit",8222,1354,0.16468012648990513,0.15000000000000002,False
"10, 2 suited",2655,433,0.1630885122410546,0.15000000000000002,False
"7, 3 suited",2785,453,0.16265709156193897,0.15000000000000002,False
"Queen, 6 off suit",8040,1294,0.1609452736318408,0.15000000000000002,False
"6, 3 suited",2691,430,0.1597918989223337,0.15000000000000002,False
"10, 6 off suit",8198,1304,0.1590631861429617,0.15000000000000002,False
2s paired,4150,660,0.15903614457831325,0.15000000000000002,False
"8, 6 off suit",8127,1285,0.15811492555678602,0.15000000000000002,False
"9, 6 off suit",8278,1293,0.15619714906982363,0.15000000000000002,False
"7, 6 off suit",8195,1279,0.15607077486272117,0.15000000000000002,False
"King, 2 off suit",8247,1287,0.1560567479083303,0.15000000000000002,False
"8, 2 suited",2781,433,0.15569938870909744,0.15000000000000002,False
"10, 5 suited",2727,424,0.15548221488815547,0.15000000000000002,False
"9, 4 suited",2715,422,0.15543278084714549,0.15000000000000002,False
"9, 7 off suit",8272,1280,0.15473887814313347,0.15000000000000002,False
"10, 3 suited",2742,422,0.1539022611232677,0.15000000000000002,False
"Jack, 6 off suit",8109,1238,0.1526698729806388,0.15000000000000002,False
"Queen, 4 off suit",8103,1227,0.15142539800074048,0.15000000000000002,False
"6, 5 off suit",8117,1224,0.15079462855734876,0.15000000000000002,False
"5, 2 suited",2716,406,0.14948453608247422,0.1,False
"3, 2 suited",2790,417,0.14946236559139786,0.1,False
"9, 2 suited",2697,401,0.14868372265480162,0.1,False
"4, 3 suited",2734,405,0.14813460131675202,0.1,False
"7, 2 suited",2711,399,0.14717816303946882,0.1,False
"9, 3 suited",2659,391,0.1470477623166604,0.1,False
"Queen, 3 off suit",8149,1192,0.14627561664007854,0.1,False
"Jack, 5 off suit",8075,1173,0.14526315789473684,0.1,False
"Queen, 2 off suit",8157,1176,0.14417065097462303,0.1,False
"4, 2 suited",2732,392,0.14348462664714495,0.1,False
"Jack, 4 off suit",8131,1155,0.14204894846882302,0.1,False
"8, 3 suited",2723,385,0.14138817480719795,0.1,False
"5, 4 off suit",8133,1147,0.14103037009713512,0.1,False
"10, 4 off suit",8329,1154,0.13855204706447352,0.1,False
"6, 2 suited",2711,375,0.1383253412025083,0.1,False
"9, 5 off suit",8249,1139,0.13807734270820707,0.1,False
"7, 5 off suit",8222,1098,0.13354414984188762,0.1,False
"8, 5 off suit",8252,1095,0.13269510421715947,0.1,False
"10, 5 off suit",8151,1079,0.13237639553429026,0.1,False
"Jack, 2 off suit",8218,1084,0.13190557313214893,0.1,False
"Jack, 3 off suit",8141,1069,0.1313106497973222,0.1,False
"6, 4 off suit",8058,1049,0.13018118639861007,0.1,False
"5, 3 off suit",8169,1054,0.12902436038682824,0.1,False
"8, 4 off suit",8014,1025,0.12790117294734216,0.1,False
"7, 4 off suit",8087,1016,0.1256337331519723,0.1,False
"10, 3 off suit",8181,1001,0.12235668011245569,0.1,False
"9, 4 off suit",8239,976,0.11846097827406239,0.1,False
"6, 3 off suit",8108,953,0.11753823384311791,0.1,False
"10, 2 off suit",8098,946,0.11681896764633243,0.1,False
"4, 3 off suit",8111,915,0.11280976451732215,0.1,False
"9, 2 off suit",7971,898,0.1126583866516121,0.1,False
"5, 2 off suit",8137,905,0.11122035148088977,0.1,False
"8, 3 off suit",8066,896,0.11108356062484503,0.1,False
"9, 3 off suit",8363,919,0.10988879588664355,0.1,False
"7, 3 off suit",8135,892,0.10964966195451752,0.1,False
"4, 2 off suit",8248,862,0.1045101842870999,0.1,False
"8, 2 off suit",8063,839,0.1040555624457398,0.1,False
"6, 2 off suit",8179,832,0.10172392713045604,0.1,False
"3, 2 off suit",8171,816,0.09986537755476686,0.05,False
"7, 2 off suit",8087,727,0.08989736614319278,0.05,False
