hole cards flavor,appearances,wins,win ratio,win ratio rounded down to nearest 5%,fewer than expected appearances
Aces paired,1782,1528,0.8574635241301908,0.8500000000000001,False
Kings paired,1793,1492,0.8321249302844395,0.8,False
Queens paired,1821,1448,0.7951674903898956,0.75,False
Jacks paired,1772,1389,0.7838600451467269,0.75,False
10s paired,1898,1468,0.7734457323498419,0.75,False
8s paired,1870,1332,0.7122994652406417,0.7000000000000001,False
9s paired,1744,1228,0.7041284403669725,0.7000000000000001,False
7s paired,1692,1179,0.6968085106382979,0.65,False
"Ace, Queen suited",1281,865,0.6752537080405933,0.65,False
"Ace, 10 off suit",3646,2434,0.6675809105869446,0.65,False
"Ace, Jack suited",1188,792,0.6666666666666666,0.65,False
"Ace, 10 suited",1157,771,0.6663785652549697,0.65,False
"Ace, King off suit",3582,2382,0.6649916247906198,0.65,False
"Ace, King suited",1187,788,0.6638584667228307,0.65,False
"King, Queen suited",1197,790,0.6599832915622389,0.65,False
"Ace, 9 suited",1178,772,0.6553480475382003,0.65,False
6s paired,1789,1162,0.6495248742314143,0.6000000000000001,False
"King, Jack suited",1178,758,0.6434634974533107,0.6000000000000001,False
"Ace, Queen off suit",3623,2324,0.6414573557825007,0.6000000000000001,False
"Ace, Jack off suit",3596,2299,0.639321468298109,0.6000000000000001,False
"Ace, 8 suited",1100,703,0.639090909090909,0.6000000000000001,False
"Ace, 7 suited",1165,744,0.6386266094420601,0.6000000000000001,False
"King, 10 suited",1175,730,0.6212765957446809,0.6000000000000001,False
"King, Jack off suit",3571,2216,0.6205544665359843,0.6000000000000001,False
"Ace, 5 suited",1231,762,0.6190089358245329,0.6000000000000001,False
"King, Queen off suit",3581,2214,0.6182630550125663,0.6000000000000001,False
"Ace, 3 suited",1260,778,0.6174603174603175,0.6000000000000001,False
"King, 8 suited",1182,729,0.616751269035533,0.6000000000000001,False
"King, 9 suited",1153,709,0.6149176062445794,0.6000000000000001,False
"Queen, Jack suited",1197,734,0.6131996658312447,0.6000000000000001,False
"Ace, 9 off suit",3756,2302,0.6128860489882854,0.6000000000000001,False
"Ace, 6 suited",1198,732,0.6110183639398998,0.6000000000000001,False
"Ace, 8 off suit",3556,2171,0.6105174353205849,0.6000000000000001,False
"Ace, 7 off suit",3679,2244,0.6099483555313944,0.6000000000000001,False
"King, 10 off suit",3623,2205,0.6086116478056859,0.6000000000000001,False
"King, 7 suited",1151,699,0.6072980017376195,0.6000000000000001,False
"Ace, 4 suited",1186,717,0.6045531197301856,0.6000000000000001,False
"Ace, 5 off suit",3569,2147,0.6015690669655366,0.6000000000000001,False
"Ace, 6 off suit",3593,2155,0.5997773448371834,0.55,False
5s paired,1744,1046,0.5997706422018348,0.55,False
"King, 4 suited",1206,721,0.5978441127694859,0.55,False
"King, 9 off suit",3553,2122,0.5972417675204053,0.55,False
"Queen, 10 off suit",3585,2136,0.59581589958159,0.55,False
"Jack, 10 suited",1232,734,0.5957792207792207,0.55,False
"Ace, 4 off suit",3667,2154,0.5874011453504226,0.55,False
"Queen, Jack off suit",3562,2090,0.5867490174059518,0.55,False
"Queen, 8 suited",1236,724,0.5857605177993528,0.55,False
"Queen, 10 suited",1221,715,0.5855855855855856,0.55,False
"Queen, 9 suited",1281,746,0.5823575331772053,0.55,False
"King, 6 suited",1195,693,0.5799163179916318,0.55,False
"King, 6 off suit",3654,2104,0.5758073344280241,0.55,False
"Ace, 2 suited",1254,720,0.5741626794258373,0.55,False
"Ace, 3 off suit",3697,2122,0.5739789018122802,0.55,False
"Jack, 8 suited",1245,714,0.5734939759036145,0.55,False
"King, 5 suited",1237,709,0.5731608730800324,0.55,False
4s paired,1819,1039,0.5711929631665751,0.55,False
"King, 8 off suit",3641,2071,0.5687997802801428,0.55,False
"King, 3 suited",1173,663,0.5652173913043478,0.55,False
"Jack, 10 off suit",3784,2134,0.563953488372093,0.55,False
"Queen, 3 suited",1189,670,0.5634987384356602,0.55,False
"Jack, 9 off suit",3586,2017,0.5624651422197434,0.55,False
"King, 4 off suit",3603,2020,0.5606439078545656,0.55,False
"Jack, 9 suited",1161,650,0.5598621877691645,0.55,False
"Jack, 7 suited",1225,685,0.5591836734693878,0.55,False
"Queen, 8 off suit",3489,1944,0.5571797076526225,0.55,False
"Queen, 9 off suit",3594,1999,0.5562047857540345,0.55,False
"Queen, 5 suited",1225,681,0.5559183673469388,0.55,False
"King, 7 off suit",3612,1999,0.5534330011074197,0.55,False
"King, 5 off suit",3533,1955,0.5533540900084913,0.55,False
"Ace, 2 off suit",3594,1984,0.552031163049527,0.55,False
"Queen, 4 suited",1185,650,0.5485232067510548,0.5,False
"Queen, 7 suited",1260,688,0.546031746031746,0.5,False
"Queen, 6 suited",1140,622,0.5456140350877193,0.5,False
3s paired,1810,983,0.5430939226519337,0.5,False
"King, 2 suited",1227,666,0.5427872860635696,0.5,False
"Jack, 4 suited",1216,657,0.540296052631579,0.5,False
"10, 8 suited",1199,646,0.5387823185988324,0.5,False
"9, 8 suited",1162,626,0.5387263339070568,0.5,False
"10, 7 suited",1196,637,0.532608695652174,0.5,False
"10, 9 off suit",3615,1924,0.5322268326417704,0.5,False
"Jack, 8 off suit",3642,1937,0.5318506315211422,0.5,False
2s paired,1824,970,0.5317982456140351,0.5,False
"King, 2 off suit",3608,1914,0.5304878048780488,0.5,False
"Queen, 6 off suit",3552,1881,0.5295608108108109,0.5,False
"Jack, 6 suited",1199,634,0.5287739783152627,0.5,False
"King, 3 off suit",3536,1862,0.5265837104072398,0.5,False
"Jack, 3 suited",1238,649,0.524232633279483,0.5,False
"10, 9 suited",1268,664,0.5236593059936908,0.5,False
"Queen, 7 off suit",3649,1909,0.5231570293231023,0.5,False
"Queen, 5 off suit",3549,1851,0.5215553677092138,0.5,False
"9, 7 suited",1202,624,0.519134775374376,0.5,False
"Jack, 7 off suit",3570,1852,0.5187675070028012,0.5,False
"10, 6 suited",1206,623,0.5165837479270315,0.5,False
"Queen, 2 suited",1206,623,0.5165837479270315,0.5,False
"8, 6 suited",1166,602,0.516295025728988,0.5,False
"9, 8 off suit",3634,1870,0.5145844799119428,0.5,False
"Queen, 4 off suit",3645,1851,0.5078189300411523,0.5,False
"Jack, 5 suited",1226,621,0.5065252854812398,0.5,False
"8, 7 suited",1231,618,0.5020308692120228,0.5,False
"10, 7 off suit",3713,1860,0.5009426339886884,0.5,False
"10, 5 suited",1245,621,0.4987951807228916,0.45,False
"Queen, 3 off suit",3621,1803,0.4979287489643745,0.45,False
"10, 8 off suit",3526,1746,0.4951786727169597,0.45,False
"Jack, 2 suited",1232,610,0.49512987012987014,0.45,False
"10, 2 suited",1169,578,0.49443969204448246,0.45,False
"9, 6 suited",1306,645,0.49387442572741197,0.45,False
"9, 5 suited",1261,622,0.49325931800158607,0.45,False
"Jack, 5 off suit",3631,1785,0.49160011016248967,0.45,False
"Jack, 4 off suit",3576,1757,0.491331096196868,0.45,False
"7, 6 suited",1308,639,0.48853211009174313,0.45,False
"8, 5 suited",1209,590,0.4880066170388751,0.45,False
"Jack, 3 off suit",3655,1772,0.4848153214774282,0.45,False
"Queen, 2 off suit",3616,1753,0.48478982300884954,0.45,False
"9, 4 suited",1119,542,0.484361036639857,0.45,False
"10, 6 off suit",3652,1758,0.4813800657174151,0.45,False
"6, 5 suited",1197,574,0.47953216374269003,0.45,False
"9, 7 off suit",3626,1738,0.4793160507446222,0.45,False
"8, 7 off suit",3609,1724,0.47769465225824326,0.45,False
"Jack, 6 off suit",3650,1739,0.47643835616438357,0.45,False
"9, 6 off suit",3605,1692,0.4693481276005548,0.45,False
"7, 5 suited",1199,562,0.46872393661384487,0.45,False
"10, 5 off suit",3680,1720,0.4673913043478261,0.45,False
"10, 3 off suit",3645,1695,0.46502057613168724,0.45,False
"7, 4 suited",1216,565,0.46463815789473684,0.45,False
"Jack, 2 off suit",3698,1716,0.4640346133044889,0.45,False
"7, 6 off suit",3606,1664,0.461453133666112,0.45,False
"10, 4 off suit",3572,1644,0.46024636058230683,0.45,False
"9, 5 off suit",3546,1628,0.45910885504794136,0.45,False
"9, 3 suited",1199,548,0.457047539616347,0.45,False
"10, 3 suited",1166,532,0.4562607204116638,0.45,False
"8, 2 suited",1223,556,0.45461978740801307,0.45,False
"8, 6 off suit",3609,1623,0.44970906068162925,0.4,False
"5, 4 suited",1246,560,0.449438202247191,0.4,False
"10, 4 suited",1216,546,0.44901315789473684,0.4,False
"8, 5 off suit",3735,1654,0.4428380187416332,0.4,False
"6, 4 suited",1212,534,0.4405940594059406,0.4,False
"9, 2 suited",1178,516,0.4380305602716469,0.4,False
"8, 4 suited",1184,518,0.4375,0.4,False
"7, 5 off suit",3528,1529,0.43339002267573695,0.4,False
"8, 3 suited",1189,509,0.4280908326324643,0.4,False
"10, 2 off suit",3582,1532,0.4276940256839754,0.4,False
"9, 4 off suit",3627,1551,0.42762613730355664,0.4,False
"8, 4 off suit",3776,1606,0.4253177966101695,0.4,False
"5, 4 off suit",3691,1563,0.42346247629368733,0.4,False
"4, 3 suited",1207,511,0.4233637116818558,0.4,False
"6, 5 off suit",3636,1526,0.4196919691969197,0.4,False
"5, 3 suited",1185,497,0.41940928270042194,0.4,False
"9, 3 off suit",3650,1528,0.41863013698630136,0.4,False
"9, 2 off suit",3650,1524,0.41753424657534244,0.4,False
"6, 3 suited",1176,487,0.4141156462585034,0.4,False
"5, 2 suited",1222,506,0.41407528641571195,0.4,False
"6, 4 off suit",3587,1480,0.4126010593810984,0.4,False
"7, 2 suited",1294,533,0.41190108191653785,0.4,False
"8, 2 off suit",3655,1469,0.40191518467852255,0.4,False
"7, 4 off suit",3621,1452,0.4009942004971003,0.4,False
"8, 3 off suit",3642,1460,0.40087863811092805,0.4,False
"7, 3 suited",1209,481,0.3978494623655914,0.35000000000000003,False
"5, 3 off suit",3617,1414,0.390931711363008,0.35000000000000003,False
"6, 3 off suit",3661,1427,0.3897842119639443,0.35000000000000003,False
"4, 2 suited",1197,464,0.38763575605680867,0.35000000000000003,False
"4, 3 off suit",3692,1431,0.38759479956663057,0.35000000000000003,False
"7, 2 off suit",3572,1384,0.387458006718925,0.35000000000000003,False
"6, 2 suited",1244,481,0.3866559485530547,0.35000000000000003,False
"3, 2 suited",1183,449,0.3795435333896872,0.35000000000000003,False
"6, 2 off suit",3632,1370,0.3772026431718062,0.35000000000000003,False
"7, 3 off suit",3678,1369,0.3722131593257205,0.35000000000000003,False
"5, 2 off suit",3592,1326,0.36915367483296213,0.35000000000000003,False
"3, 2 off suit",3581,1318,0.36805361630829375,0.35000000000000003,False
"4, 2 off suit",3710,1307,0.3522911051212938,0.35000000000000003,False
