hole cards flavor,appearances,wins,win ratio,win ratio rounded down to nearest 5%,fewer than expected appearances
Aces paired,959,368,0.38373305526590196,0.35000000000000003,True
Kings paired,871,302,0.3467278989667049,0.30000000000000004,True
Queens paired,932,263,0.2821888412017167,0.25,True
"Ace, King suited",629,172,0.27344992050874406,0.25,True
"Ace, Queen suited",630,160,0.25396825396825395,0.25,True
"King, Queen suited",635,158,0.24881889763779527,0.2,True
Jacks paired,921,229,0.248642779587405,0.2,True
"Ace, Jack suited",602,141,0.23421926910299004,0.2,True
"Ace, King off suit",1817,412,0.2267473858007705,0.2,False
"King, 10 suited",621,139,0.22383252818035426,0.2,True
"Queen, Jack suited",608,136,0.2236842105263158,0.2,True
9s paired,902,198,0.21951219512195122,0.2,True
"Jack, 10 suited",605,131,0.21652892561983472,0.2,True
"Ace, 10 suited",658,142,0.21580547112462006,0.2,True
10s paired,959,205,0.21376433785192908,0.2,True
"King, Jack suited",582,124,0.21305841924398625,0.2,True
"King, 9 suited",614,130,0.21172638436482086,0.2,True
"Ace, 8 suited",611,127,0.2078559738134206,0.2,True
"Queen, 10 suited",624,128,0.20512820512820512,0.2,True
"Queen, 9 suited",594,121,0.2037037037037037,0.2,True
"Ace, 7 suited",597,120,0.20100502512562815,0.2,True
"King, Queen off suit",1891,379,0.2004230565838181,0.2,False
"Ace, Jack off suit",1834,366,0.19956379498364232,0.15000000000000002,False
"Ace, Queen off suit",1813,360,0.19856591285162714,0.15000000000000002,False
"Ace, 5 suited",562,111,0.19750889679715303,0.15000000000000002,True
"Ace, 4 suited",599,118,0.19699499165275458,0.15000000000000002,True
"Jack, 10 off suit",1783,341,0.19125070106561975,0.15000000000000002,False
"Ace, 9 suited",587,111,0.1890971039182283,0.15000000000000002,True
"King, 4 suited",578,109,0.18858131487889274,0.15000000000000002,True
"Ace, 2 suited",614,115,0.18729641693811075,0.15000000000000002,True
"Jack, 9 suited",602,112,0.18604651162790697,0.15000000000000002,True
"Queen, Jack off suit",1849,343,0.18550567874526772,0.15000000000000002,False
"Ace, 6 suited",595,107,0.17983193277310924,0.15000000000000002,True
"Ace, 10 off suit",1785,321,0.17983193277310924,0.15000000000000002,False
"King, 7 suited",634,114,0.17981072555205047,0.15000000000000002,True
8s paired,929,167,0.1797631862217438,0.15000000000000002,True
"Queen, 10 off suit",1843,326,0.17688551275094955,0.15000000000000002,False
"Jack, 8 suited",581,102,0.17555938037865748,0.15000000000000002,True
"9, 8 suited",624,109,0.17467948717948717,0.15000000000000002,True
6s paired,909,158,0.17381738173817382,0.15000000000000002,True
"King, 8 suited",593,101,0.1703204047217538,0.15000000000000002,True
"King, 9 off suit",1785,304,0.17030812324929973,0.15000000000000002,False
"King, 10 off suit",1840,313,0.1701086956521739,0.15000000000000002,False
