card name,appearances,probability of appearing in a hand,expected_appearances,deviation,percent_deviation,deviation_above_tolerable_threshold
2 of Clubs,29560,0.4423076923076923,29486.884615384613,73.11538461538657,0.002479590013291504,False
3 of Clubs,29345,0.4423076923076923,29486.884615384613,-141.88461538461343,0.0048117872483072,False
4 of Clubs,29504,0.4423076923076923,29486.884615384613,17.115384615386574,0.0005804405870146323,False
5 of Clubs,29561,0.4423076923076923,29486.884615384613,74.11538461538657,0.002513503395903591,False
6 of Clubs,29510,0.4423076923076923,29486.884615384613,23.115384615386574,0.0007839208826871542,False
7 of Clubs,29527,0.4423076923076923,29486.884615384613,40.115384615386574,0.0013604483870926331,False
8 of Clubs,29339,0.4423076923076923,29486.884615384613,-147.88461538461343,0.005015267543979722,False
9 of Clubs,29655,0.4423076923076923,29486.884615384613,168.11538461538657,0.005701361361439768,False
10 of Clubs,29311,0.4423076923076923,29486.884615384613,-175.88461538461343,0.005964842257118157,False
Jack of Clubs,29555,0.4423076923076923,29486.884615384613,68.11538461538657,0.0023100231002310687,False
Queen of Clubs,29631,0.4423076923076923,29486.884615384613,144.11538461538657,0.004887440178749681,False
King of Clubs,29457,0.4423076923076923,29486.884615384613,-29.884615384613426,0.0010134883957534564,False
Ace of Clubs,29450,0.4423076923076923,29486.884615384613,-36.884615384613426,0.0012508820740380654,False
2 of Diamonds,29724,0.4423076923076923,29486.884615384613,237.11538461538657,0.008041384761673771,False
3 of Diamonds,29401,0.4423076923076923,29486.884615384613,-85.88461538461343,0.002912637822030328,False
4 of Diamonds,29483,0.4423076923076923,29486.884615384613,-3.8846153846134257,0.00013174044783919458,False
5 of Diamonds,29457,0.4423076923076923,29486.884615384613,-29.884615384613426,0.0010134883957534564,False
6 of Diamonds,29355,0.4423076923076923,29486.884615384613,-131.88461538461343,0.004472653422186329,False
7 of Diamonds,29456,0.4423076923076923,29486.884615384613,-30.884615384613426,0.0010474017783655433,False
8 of Diamonds,29723,0.4423076923076923,29486.884615384613,236.11538461538657,0.008007471379061683,False
9 of Diamonds,29643,0.4423076923076923,29486.884615384613,156.11538461538657,0.005294400770094724,False
10 of Diamonds,29634,0.4423076923076923,29486.884615384613,147.11538461538657,0.004989180326585942,False
Jack of Diamonds,29436,0.4423076923076923,29486.884615384613,-50.884615384613426,0.0017256694306072833,False
Queen of Diamonds,29201,0.4423076923076923,29486.884615384613,-285.8846153846134,0.009695314344447727,False
King of Diamonds,29491,0.4423076923076923,29486.884615384613,4.115384615386574,0.00013956661305750137,False
Ace of Diamonds,29220,0.4423076923076923,29486.884615384613,-266.8846153846134,0.009050960074818074,False
2 of Hearts,29722,0.4423076923076923,29486.884615384613,235.11538461538657,0.007973557996449597,False
3 of Hearts,29485,0.4423076923076923,29486.884615384613,-1.8846153846134257,6.391368261502059e-05,False
4 of Hearts,29691,0.4423076923076923,29486.884615384613,204.11538461538657,0.0069222431354749,False
5 of Hearts,29659,0.4423076923076923,29486.884615384613,172.11538461538657,0.005837014891888116,False
6 of Hearts,29208,0.4423076923076923,29486.884615384613,-278.8846153846134,0.009457920666163118,False
7 of Hearts,29602,0.4423076923076923,29486.884615384613,115.11538461538657,0.0039039520829991575,False
8 of Hearts,29628,0.4423076923076923,29486.884615384613,141.11538461538657,0.00478570003091342,False
9 of Hearts,29542,0.4423076923076923,29486.884615384613,55.115384615386574,0.001869149126273938,False
10 of Hearts,29276,0.4423076923076923,29486.884615384613,-210.88461538461343,0.007151810648541202,False
Jack of Hearts,29227,0.4423076923076923,29486.884615384613,-259.8846153846134,0.008813566396533464,False
Queen of Hearts,29391,0.4423076923076923,29486.884615384613,-95.88461538461343,0.0032517716481511977,False
King of Hearts,29347,0.4423076923076923,29486.884615384613,-139.88461538461343,0.004743960483083025,False
Ace of Hearts,29510,0.4423076923076923,29486.884615384613,23.115384615386574,0.0007839208826871542,False
2 of Spades,29608,0.4423076923076923,29486.884615384613,121.11538461538657,0.004107432378671679,False
3 of Spades,29590,0.4423076923076923,29486.884615384613,103.11538461538657,0.0034969914916541138,False
4 of Spades,29463,0.4423076923076923,29486.884615384613,-23.884615384613426,0.0008100081000809344,False
5 of Spades,29374,0.4423076923076923,29486.884615384613,-112.88461538461343,0.0038282991525566768,False
6 of Spades,29392,0.4423076923076923,29486.884615384613,-94.88461538461343,0.0032178582655391108,False
7 of Spades,29546,0.4423076923076923,29486.884615384613,59.115384615386574,0.002004802656722286,False
8 of Spades,29312,0.4423076923076923,29486.884615384613,-174.88461538461343,0.00593092887450607,False
9 of Spades,29654,0.4423076923076923,29486.884615384613,167.11538461538657,0.005667447978827681,False
10 of Spades,29452,0.4423076923076923,29486.884615384613,-34.884615384613426,0.0011830553088138913,False
Jack of Spades,29725,0.4423076923076923,29486.884615384613,238.11538461538657,0.008075298144285857,False
Queen of Spades,29464,0.4423076923076923,29486.884615384613,-22.884615384613426,0.0007760947174688474,False
King of Spades,29489,0.4423076923076923,29486.884615384613,2.1153846153865743,7.173984783332737e-05,False
Ace of Spades,29332,0.4423076923076923,29486.884615384613,-154.88461538461343,0.005252661222264331,False
