card name,appearances,probability of appearing in a hand,expected_appearances,deviation,percent_deviation,deviation_above_tolerable_threshold
2 of Clubs,63726,0.4423076923076923,63888.25,-162.25,0.002539590613297437,False
3 of Clubs,63655,0.4423076923076923,63888.25,-233.25,0.003650906074278134,False
4 of Clubs,64004,0.4423076923076923,63888.25,115.75,0.0018117572480072627,False
5 of Clubs,63926,0.4423076923076923,63888.25,37.75,0.000590875473972131,False
6 of Clubs,63645,0.4423076923076923,63888.25,-243.25,0.0038074293786416126,False
7 of Clubs,63997,0.4423076923076923,63888.25,108.75,0.0017021909349528277,False
8 of Clubs,63654,0.4423076923076923,63888.25,-234.25,0.003666558404714482,False
9 of Clubs,63983,0.4423076923076923,63888.25,94.75,0.001483058308843958,False
10 of Clubs,63854,0.4423076923076923,63888.25,-34.25,0.0005360923174449136,False
Jack of Clubs,63894,0.4423076923076923,63888.25,5.75,9.000090000900009e-05,False
Queen of Clubs,63914,0.4423076923076923,63888.25,25.75,0.0004030475087359569,False
King of Clubs,63839,0.4423076923076923,63888.25,-49.25,0.0007708772739901313,False
Ace of Clubs,63893,0.4423076923076923,63888.25,4.75,7.434856957265225e-05,False
2 of Diamonds,63836,0.4423076923076923,63888.25,-52.25,0.0008178342652991747,False
3 of Diamonds,63803,0.4423076923076923,63888.25,-85.25,0.0013343611696986534,False
4 of Diamonds,63862,0.4423076923076923,63888.25,-26.25,0.00041087367395413086,False
5 of Diamonds,63939,0.4423076923076923,63888.25,50.75,0.000794355769644653,False
6 of Diamonds,63439,0.4423076923076923,63888.25,-449.25,0.0070318094485292675,False
7 of Diamonds,63883,0.4423076923076923,63888.25,-5.25,8.217473479082617e-05,False
8 of Diamonds,64091,0.4423076923076923,63888.25,202.75,0.003173509995969525,False
9 of Diamonds,64153,0.4423076923076923,63888.25,264.75,0.004143954483023091,False
10 of Diamonds,63992,0.4423076923076923,63888.25,103.75,0.0016239292827710885,False
Jack of Diamonds,64000,0.4423076923076923,63888.25,111.75,0.0017491479262618714,False
Queen of Diamonds,63517,0.4423076923076923,63888.25,-371.25,0.005810927674494136,False
King of Diamonds,63946,0.4423076923076923,63888.25,57.75,0.0009039220826990878,False
Ace of Diamonds,63783,0.4423076923076923,63888.25,-105.25,0.0016474077784256102,False
2 of Hearts,63967,0.4423076923076923,63888.25,78.75,0.0012326210218623925,False
3 of Hearts,63974,0.4423076923076923,63888.25,85.75,0.0013421873349168275,False
4 of Hearts,64208,0.4423076923076923,63888.25,319.75,0.005004832657022222,False
5 of Hearts,64161,0.4423076923076923,63888.25,272.75,0.004269173126513873,False
6 of Hearts,63614,0.4423076923076923,63888.25,-274.25,0.0042926516221683956,False
7 of Hearts,64155,0.4423076923076923,63888.25,266.75,0.0041752591438957865,False
8 of Hearts,63934,0.4423076923076923,63888.25,45.75,0.0007160941174629138,False
9 of Hearts,63913,0.4423076923076923,63888.25,24.75,0.0003873951782996091,False
10 of Hearts,63800,0.4423076923076923,63888.25,-88.25,0.001381318161007697,False
Jack of Hearts,63634,0.4423076923076923,63888.25,-254.25,0.003979605013441439,False
Queen of Hearts,63706,0.4423076923076923,63888.25,-182.25,0.002852637222024394,False
King of Hearts,63527,0.4423076923076923,63888.25,-361.25,0.005654404370130658,False
Ace of Hearts,64052,0.4423076923076923,63888.25,163.75,0.0025630691089519593,False
2 of Spades,64134,0.4423076923076923,63888.25,245.75,0.003846560204732482,False
3 of Spades,64147,0.4423076923076923,63888.25,258.75,0.004050040500405004,False
4 of Spades,63913,0.4423076923076923,63888.25,24.75,0.0003873951782996091,False
5 of Spades,63804,0.4423076923076923,63888.25,-84.25,0.0013187088392623057,False
6 of Spades,63849,0.4423076923076923,63888.25,-39.25,0.0006143539696266528,False
7 of Spades,63941,0.4423076923076923,63888.25,52.75,0.0008256604305173486,False
8 of Spades,63423,0.4423076923076923,63888.25,-465.25,0.007282246735510834,False
9 of Spades,64041,0.4423076923076923,63888.25,152.75,0.0023908934741521328,False
10 of Spades,64228,0.4423076923076923,63888.25,339.75,0.005317879265749179,False
Jack of Spades,64110,0.4423076923076923,63888.25,221.75,0.003470904274260134,False
Queen of Spades,63956,0.4423076923076923,63888.25,67.75,0.0010604453870625664,False
King of Spades,64052,0.4423076923076923,63888.25,163.75,0.0025630691089519593,False
Ace of Spades,63718,0.4423076923076923,63888.25,-170.25,0.00266480925678822,False
