card name,appearances,probability of appearing in a hand,expected_appearances,deviation,percent_deviation,deviation_above_tolerable_threshold
2 of Clubs,90851,0.40384615384615385,90865.38461538462,-14.38461538462434,0.00015830687830697686,False
3 of Clubs,90450,0.40384615384615385,90865.38461538462,-415.38461538462434,0.00457142857142867,False
4 of Clubs,90969,0.40384615384615385,90865.38461538462,103.61538461537566,0.0011403174603173616,False
5 of Clubs,91224,0.40384615384615385,90865.38461538462,358.61538461537566,0.003946666666666568,False
6 of Clubs,90969,0.40384615384615385,90865.38461538462,103.61538461537566,0.0011403174603173616,False
7 of Clubs,90623,0.40384615384615385,90865.38461538462,-242.38461538462434,0.0026675132275133257,False
8 of Clubs,91036,0.40384615384615385,90865.38461538462,170.61538461537566,0.001877671957671859,False
9 of Clubs,90578,0.40384615384615385,90865.38461538462,-287.38461538462434,0.003162751322751421,False
10 of Clubs,91069,0.40384615384615385,90865.38461538462,203.61538461537566,0.002240846560846462,False
Jack of Clubs,90702,0.40384615384615385,90865.38461538462,-163.38461538462434,0.0017980952380953364,False
Queen of Clubs,90867,0.40384615384615385,90865.38461538462,1.6153846153756604,1.7777777777679223e-05,False
King of Clubs,91237,0.40384615384615385,90865.38461538462,371.61538461537566,0.004089735449735351,False
Ace of Clubs,91123,0.40384615384615385,90865.38461538462,257.61538461537566,0.0028351322751321763,False
2 of Diamonds,90878,0.40384615384615385,90865.38461538462,12.61538461537566,0.00013883597883588026,False
3 of Diamonds,91003,0.40384615384615385,90865.38461538462,137.61538461537566,0.0015144973544972558,False
4 of Diamonds,90656,0.40384615384615385,90865.38461538462,-209.38461538462434,0.0023043386243387226,False
5 of Diamonds,90455,0.40384615384615385,90865.38461538462,-410.38461538462434,0.004516402116402214,False
6 of Diamonds,90987,0.40384615384615385,90865.38461538462,121.61538461537566,0.0013384126984125997,False
7 of Diamonds,90909,0.40384615384615385,90865.38461538462,43.61538461537566,0.0004799999999999014,False
8 of Diamonds,90701,0.40384615384615385,90865.38461538462,-164.38461538462434,0.0018091005291006276,False
9 of Diamonds,91126,0.40384615384615385,90865.38461538462,260.61538461537566,0.0028681481481480494,False
10 of Diamonds,90708,0.40384615384615385,90865.38461538462,-157.38461538462434,0.0017320634920635904,False
Jack of Diamonds,90893,0.40384615384615385,90865.38461538462,27.61538461537566,0.00030391534391524533,False
Queen of Diamonds,90643,0.40384615384615385,90865.38461538462,-222.38461538462434,0.0024474074074075057,False
King of Diamonds,90281,0.40384615384615385,90865.38461538462,-584.3846153846243,0.006431322751322849,False
Ace of Diamonds,91013,0.40384615384615385,90865.38461538462,147.61538461537566,0.0016245502645501658,False
2 of Hearts,91054,0.40384615384615385,90865.38461538462,188.61538461537566,0.002075767195767097,False
3 of Hearts,90587,0.40384615384615385,90865.38461538462,-278.38461538462434,0.003063703703703802,False
4 of Hearts,90771,0.40384615384615385,90865.38461538462,-94.38461538462434,0.001038730158730257,False
5 of Hearts,90867,0.40384615384615385,90865.38461538462,1.6153846153756604,1.7777777777679223e-05,False
6 of Hearts,90766,0.40384615384615385,90865.38461538462,-99.38461538462434,0.001093756613756712,False
7 of Hearts,91076,0.40384615384615385,90865.38461538462,210.61538461537566,0.002317883597883499,False
8 of Hearts,91088,0.40384615384615385,90865.38461538462,222.61538461537566,0.0024499470899469913,False
9 of Hearts,91216,0.40384615384615385,90865.38461538462,350.61538461537566,0.0038586243386242395,False
10 of Hearts,90580,0.40384615384615385,90865.38461538462,-285.38461538462434,0.003140740740740839,False
Jack of Hearts,91171,0.40384615384615385,90865.38461538462,305.61538461537566,0.0033633862433861445,False
Queen of Hearts,90767,0.40384615384615385,90865.38461538462,-98.38461538462434,0.0010827513227514211,False
King of Hearts,90785,0.40384615384615385,90865.38461538462,-80.38461538462434,0.0008846560846561832,False
Ace of Hearts,90789,0.40384615384615385,90865.38461538462,-76.38461538462434,0.0008406349206350191,False
2 of Spades,91301,0.40384615384615385,90865.38461538462,435.61538461537566,0.004794074074073975,False
3 of Spades,91059,0.40384615384615385,90865.38461538462,193.61538461537566,0.002130793650793552,False
4 of Spades,90682,0.40384615384615385,90865.38461538462,-183.38461538462434,0.0020182010582011564,False
5 of Spades,90462,0.40384615384615385,90865.38461538462,-403.38461538462434,0.004439365079365177,False
6 of Spades,90940,0.40384615384615385,90865.38461538462,74.61538461537566,0.0008211640211639225,False
7 of Spades,90827,0.40384615384615385,90865.38461538462,-38.38461538462434,0.00042243386243396094,False
8 of Spades,90815,0.40384615384615385,90865.38461538462,-50.38461538462434,0.000554497354497453,False
9 of Spades,90788,0.40384615384615385,90865.38461538462,-77.38461538462434,0.0008516402116403101,False
10 of Spades,90810,0.40384615384615385,90865.38461538462,-55.38461538462434,0.000609523809523908,False
Jack of Spades,91086,0.40384615384615385,90865.38461538462,220.61538461537566,0.002427936507936409,False
Queen of Spades,90923,0.40384615384615385,90865.38461538462,57.61538461537566,0.0006340740740739755,False
King of Spades,90856,0.40384615384615385,90865.38461538462,-9.38461538462434,0.00010328042328052183,False
Ace of Spades,90983,0.40384615384615385,90865.38461538462,117.61538461537566,0.0012943915343914356,False
