hole cards flavor,appearances,wins,win ratio,win ratio rounded down to nearest 5%,fewer than expected appearances
Aces paired,921,530,0.5754614549402823,0.55,True
Kings paired,924,486,0.525974025974026,0.5,True
Queens paired,907,406,0.4476295479603087,0.4,True
Jacks paired,915,373,0.40765027322404374,0.4,True
"Ace, King suited",607,228,0.3756177924217463,0.35000000000000003,True
"Ace, Queen suited",590,221,0.37457627118644066,0.35000000000000003,True
10s paired,958,340,0.35490605427974947,0.35000000000000003,True
"King, Queen suited",623,219,0.35152487961476725,0.35000000000000003,True
"Ace, 10 suited",647,226,0.34930448222565685,0.30000000000000004,True
"Ace, Jack suited",619,215,0.3473344103392569,0.30000000000000004,True
"Ace, King off suit",1829,593,0.32422088572990704,0.30000000000000004,False
"Ace, Jack off suit",1825,589,0.32273972602739726,0.30000000000000004,False
"Ace, Queen off suit",1807,576,0.3187603763143331,0.30000000000000004,False
9s paired,951,302,0.3175604626708728,0.30000000000000004,True
"King, Jack suited",591,184,0.311336717428088,0.30000000000000004,True
"Queen, 10 suited",576,179,0.3107638888888889,0.30000000000000004,True
"King, 10 suited",573,177,0.3089005235602094,0.30000000000000004,True
"Queen, Jack suited",608,185,0.3042763157894737,0.30000000000000004,True
"King, Queen off suit",1792,545,0.3041294642857143,0.30000000000000004,False
"Ace, 9 suited",622,189,0.30385852090032156,0.30000000000000004,True
"Queen, 9 suited",583,176,0.3018867924528302,0.30000000000000004,True
8s paired,911,266,0.29198682766191,0.25,True
"Ace, 10 off suit",1795,524,0.29192200557103065,0.25,False
"King, Jack off suit",1858,532,0.28632938643702904,0.25,False
"King, 10 off suit",1740,496,0.2850574712643678,0.25,False
"Queen, Jack off suit",1752,499,0.2848173515981735,0.25,False
"Ace, 7 suited",624,177,0.28365384615384615,0.25,True
"King, 4 suited",665,188,0.28270676691729324,0.25,True
"Jack, 10 suited",593,167,0.28161888701517707,0.25,True
"Ace, 8 suited",640,179,0.2796875,0.25,True
"Ace, 3 suited",592,165,0.27871621621621623,0.25,True
"King, 2 suited",620,172,0.27741935483870966,0.25,True
"10, 9 suited",620,172,0.27741935483870966,0.25,True
"King, 9 suited",596,165,0.27684563758389263,0.25,True
"King, 8 suited",590,162,0.2745762711864407,0.25,True
"Ace, 8 off suit",1871,510,0.2725815072153928,0.25,False
"Queen, 8 suited",580,158,0.27241379310344827,0.25,True
"Jack, 9 suited",580,157,0.2706896551724138,0.25,True
"King, 7 suited",615,165,0.2682926829268293,0.25,True
"King, 6 suited",584,155,0.2654109589041096,0.25,True
"Jack, 10 off suit",1726,458,0.2653534183082271,0.25,False
"Queen, 10 off suit",1748,461,0.2637299771167048,0.25,False
"Ace, 4 suited",587,154,0.262350936967632,0.25,True
"King, 5 suited",642,167,0.2601246105919003,0.25,True
"Jack, 8 suited",609,157,0.25779967159277506,0.25,True
"Ace, 7 off suit",1822,469,0.25740944017563117,0.25,False
"Ace, 5 suited",610,156,0.25573770491803277,0.25,True
5s paired,893,227,0.2541993281075028,0.25,True
"Ace, 6 suited",596,151,0.2533557046979866,0.25,True
7s paired,878,222,0.2528473804100228,0.25,True
6s paired,921,231,0.250814332247557,0.25,True
"Ace, 9 off suit",1799,448,0.2490272373540856,0.2,False
"King, 9 off suit",1808,450,0.2488938053097345,0.2,False
"Queen, 2 suited",585,145,0.24786324786324787,0.2,True
"Queen, 9 off suit",1926,477,0.24766355140186916,0.2,False
"8, 7 suited",587,144,0.2453151618398637,0.2,True
"9, 8 suited",620,152,0.24516129032258063,0.2,True
"9, 7 suited",612,150,0.24509803921568626,0.2,True
"10, 9 off suit",1809,443,0.2448866777224986,0.2,False
"8, 6 suited",656,160,0.24390243902439024,0.2,True
"King, 3 suited",645,157,0.2434108527131783,0.2,True
"Jack, 9 off suit",1776,432,0.24324324324324326,0.2,False
"Queen, 6 suited",614,148,0.24104234527687296,0.2,True
"King, 8 off suit",1811,434,0.23964660408614025,0.2,False
"Queen, 8 off suit",1859,444,0.23883808499193115,0.2,False
"Ace, 5 off suit",1719,406,0.23618382780686445,0.2,False
"Ace, 4 off suit",1760,406,0.23068181818181818,0.2,False
"6, 5 suited",593,136,0.22934232715008432,0.2,True
"10, 7 suited",577,132,0.22876949740034663,0.2,True
"Ace, 2 suited",600,137,0.22833333333333333,0.2,True
"Jack, 3 suited",609,139,0.22824302134646962,0.2,True
"Jack, 7 suited",607,138,0.2273476112026359,0.2,True
"10, 8 off suit",1801,408,0.22654081066074402,0.2,False
"9, 5 suited",613,138,0.22512234910277323,0.2,True
"Queen, 5 suited",605,136,0.22479338842975208,0.2,True
"Ace, 6 off suit",1883,422,0.22411046202867765,0.2,False
4s paired,896,199,0.22209821428571427,0.2,True
"King, 7 off suit",1785,395,0.22128851540616246,0.2,False
"Jack, 2 suited",593,131,0.2209106239460371,0.2,True
"King, 5 off suit",1861,411,0.22084900591080064,0.2,False
"Queen, 4 suited",617,136,0.22042139384116693,0.2,True
"Jack, 6 suited",629,138,0.21939586645468998,0.2,True
"5, 4 suited",604,132,0.2185430463576159,0.2,True
"Ace, 3 off suit",1816,395,0.21751101321585903,0.2,False
"10, 6 suited",640,139,0.2171875,0.2,True
"King, 6 off suit",1769,384,0.21707179197286602,0.2,False
"Ace, 2 off suit",1934,416,0.21509824198552224,0.2,False
"Queen, 7 off suit",1888,402,0.2129237288135593,0.2,False
"9, 8 off suit",1812,385,0.21247240618101546,0.2,False
"Jack, 5 suited",573,121,0.2111692844677138,0.2,True
"Queen, 3 suited",621,131,0.2109500805152979,0.2,True
"Jack, 7 off suit",1837,378,0.20577027762656505,0.2,False
"7, 6 suited",607,124,0.2042833607907743,0.2,True
"Jack, 8 off suit",1809,369,0.20398009950248755,0.2,False
"10, 7 off suit",1786,364,0.2038073908174692,0.2,False
"10, 5 suited",579,118,0.20379965457685664,0.2,True
"10, 8 suited",652,132,0.20245398773006135,0.2,True
"9, 7 off suit",1735,351,0.20230547550432276,0.2,False
3s paired,859,171,0.1990686845168801,0.15000000000000002,True
"7, 5 suited",630,125,0.1984126984126984,0.15000000000000002,True
"7, 4 suited",580,115,0.19827586206896552,0.15000000000000002,True
