card name,appearances,probability of appearing in a hand,expected_appearances,deviation,percent_deviation,deviation_above_tolerable_threshold
2 of Clubs,18816,0.25,18750.0,66.0,0.00352,False
3 of Clubs,18806,0.25,18750.0,56.0,0.0029866666666666665,False
4 of Clubs,18684,0.25,18750.0,-66.0,0.00352,False
5 of Clubs,18713,0.25,18750.0,-37.0,0.0019733333333333334,False
6 of Clubs,18623,0.25,18750.0,-127.0,0.0067733333333333335,False
7 of Clubs,18733,0.25,18750.0,-17.0,0.0009066666666666666,False
8 of Clubs,18792,0.25,18750.0,42.0,0.00224,False
9 of Clubs,18816,0.25,18750.0,66.0,0.00352,False
10 of Clubs,18642,0.25,18750.0,-108.0,0.00576,False
Jack of Clubs,18778,0.25,18750.0,28.0,0.0014933333333333333,False
Queen of Clubs,18513,0.25,18750.0,-237.0,0.01264,True
King of Clubs,18663,0.25,18750.0,-87.0,0.00464,False
Ace of Clubs,18850,0.25,18750.0,100.0,0.005333333333333333,False
2 of Diamonds,18624,0.25,18750.0,-126.0,0.00672,False
3 of Diamonds,18938,0.25,18750.0,188.0,0.010026666666666666,True
4 of Diamonds,18765,0.25,18750.0,15.0,0.0008,False
5 of Diamonds,18607,0.25,18750.0,-143.0,0.007626666666666667,False
6 of Diamonds,18827,0.25,18750.0,77.0,0.0041066666666666665,False
7 of Diamonds,18724,0.25,18750.0,-26.0,0.0013866666666666667,False
8 of Diamonds,18773,0.25,18750.0,23.0,0.0012266666666666667,False
9 of Diamonds,18699,0.25,18750.0,-51.0,0.00272,False
10 of Diamonds,19048,0.25,18750.0,298.0,0.015893333333333332,True
Jack of Diamonds,18700,0.25,18750.0,-50.0,0.0026666666666666666,False
Queen of Diamonds,18745,0.25,18750.0,-5.0,0.0002666666666666667,False
King of Diamonds,18759,0.25,18750.0,9.0,0.00048,False
Ace of Diamonds,18835,0.25,18750.0,85.0,0.004533333333333334,False
2 of Hearts,18754,0.25,18750.0,4.0,0.00021333333333333333,False
3 of Hearts,18741,0.25,18750.0,-9.0,0.00048,False
4 of Hearts,18765,0.25,18750.0,15.0,0.0008,False
5 of Hearts,18884,0.25,18750.0,134.0,0.007146666666666667,False
6 of Hearts,18627,0.25,18750.0,-123.0,0.00656,False
7 of Hearts,18870,0.25,18750.0,120.0,0.0064,False
8 of Hearts,18895,0.25,18750.0,145.0,0.007733333333333333,False
9 of Hearts,18797,0.25,18750.0,47.0,0.0025066666666666666,False
10 of Hearts,18843,0.25,18750.0,93.0,0.00496,False
Jack of Hearts,18559,0.25,18750.0,-191.0,0.010186666666666667,True
Queen of Hearts,18771,0.25,18750.0,21.0,0.00112,False
King of Hearts,18613,0.25,18750.0,-137.0,0.007306666666666667,False
Ace of Hearts,18652,0.25,18750.0,-98.0,0.005226666666666667,False
2 of Spades,18810,0.25,18750.0,60.0,0.0032,False
3 of Spades,18703,0.25,18750.0,-47.0,0.0025066666666666666,False
4 of Spades,18798,0.25,18750.0,48.0,0.00256,False
5 of Spades,18723,0.25,18750.0,-27.0,0.00144,False
6 of Spades,18770,0.25,18750.0,20.0,0.0010666666666666667,False
7 of Spades,18682,0.25,18750.0,-68.0,0.0036266666666666665,False
8 of Spades,18779,0.25,18750.0,29.0,0.0015466666666666667,False
9 of Spades,18698,0.25,18750.0,-52.0,0.0027733333333333334,False
10 of Spades,18800,0.25,18750.0,50.0,0.0026666666666666666,False
Jack of Spades,18754,0.25,18750.0,4.0,0.00021333333333333333,False
Queen of Spades,18810,0.25,18750.0,60.0,0.0032,False
King of Spades,18636,0.25,18750.0,-114.0,0.00608,False
Ace of Spades,18793,0.25,18750.0,43.0,0.0022933333333333334,False
