card name,appearances,probability of appearing in a hand,expected_appearances,deviation,percent_deviation,deviation_above_tolerable_threshold
2 of Clubs,12696,0.25,12500.0,196.0,0.01568,True
3 of Clubs,12587,0.25,12500.0,87.0,0.00696,False
4 of Clubs,12482,0.25,12500.0,-18.0,0.00144,False
5 of Clubs,12477,0.25,12500.0,-23.0,0.00184,False
6 of Clubs,12506,0.25,12500.0,6.0,0.00048,False
7 of Clubs,12505,0.25,12500.0,5.0,0.0004,False
8 of Clubs,12512,0.25,12500.0,12.0,0.00096,False
9 of Clubs,12600,0.25,12500.0,100.0,0.008,False
10 of Clubs,12463,0.25,12500.0,-37.0,0.00296,False
Jack of Clubs,12564,0.25,12500.0,64.0,0.00512,False
Queen of Clubs,12306,0.25,12500.0,-194.0,0.01552,True
King of Clubs,12396,0.25,12500.0,-104.0,0.00832,False
Ace of Clubs,12550,0.25,12500.0,50.0,0.004,False
2 of Diamonds,12368,0.25,12500.0,-132.0,0.01056,True
3 of Diamonds,12705,0.25,12500.0,205.0,0.0164,True
4 of Diamonds,12515,0.25,12500.0,15.0,0.0012,False
5 of Diamonds,12432,0.25,12500.0,-68.0,0.00544,False
6 of Diamonds,12502,0.25,12500.0,2.0,0.00016,False
7 of Diamonds,12454,0.25,12500.0,-46.0,0.00368,False
8 of Diamonds,12598,0.25,12500.0,98.0,0.00784,False
9 of Diamonds,12487,0.25,12500.0,-13.0,0.00104,False
10 of Diamonds,12667,0.25,12500.0,167.0,0.01336,True
Jack of Diamonds,12532,0.25,12500.0,32.0,0.00256,False
Queen of Diamonds,12576,0.25,12500.0,76.0,0.00608,False
King of Diamonds,12472,0.25,12500.0,-28.0,0.00224,False
Ace of Diamonds,12540,0.25,12500.0,40.0,0.0032,False
2 of Hearts,12539,0.25,12500.0,39.0,0.00312,False
3 of Hearts,12401,0.25,12500.0,-99.0,0.00792,False
4 of Hearts,12542,0.25,12500.0,42.0,0.00336,False
5 of Hearts,12582,0.25,12500.0,82.0,0.00656,False
6 of Hearts,12442,0.25,12500.0,-58.0,0.00464,False
7 of Hearts,12494,0.25,12500.0,-6.0,0.00048,False
8 of Hearts,12701,0.25,12500.0,201.0,0.01608,True
9 of Hearts,12488,0.25,12500.0,-12.0,0.00096,False
10 of Hearts,12493,0.25,12500.0,-7.0,0.00056,False
Jack of Hearts,12294,0.25,12500.0,-206.0,0.01648,True
Queen of Hearts,12556,0.25,12500.0,56.0,0.00448,False
King of Hearts,12343,0.25,12500.0,-157.0,0.01256,True
Ace of Hearts,12468,0.25,12500.0,-32.0,0.00256,False
2 of Spades,12473,0.25,12500.0,-27.0,0.00216,False
3 of Spades,12399,0.25,12500.0,-101.0,0.00808,False
4 of Spades,12487,0.25,12500.0,-13.0,0.00104,False
5 of Spades,12463,0.25,12500.0,-37.0,0.00296,False
6 of Spades,12503,0.25,12500.0,3.0,0.00024,False
7 of Spades,12379,0.25,12500.0,-121.0,0.00968,False
8 of Spades,12563,0.25,12500.0,63.0,0.00504,False
9 of Spades,12535,0.25,12500.0,35.0,0.0028,False
10 of Spades,12528,0.25,12500.0,28.0,0.00224,False
Jack of Spades,12509,0.25,12500.0,9.0,0.00072,False
Queen of Spades,12466,0.25,12500.0,-34.0,0.00272,False
King of Spades,12299,0.25,12500.0,-201.0,0.01608,True
Ace of Spades,12561,0.25,12500.0,61.0,0.00488,False
